ா	a
ஓரம்	oː ɾ ɐ m
ஓடன்	oː ɖ ɐ n
பளபள	p a ɭ a p a ɭ a
பாதை	p aː d̪ a ɪ̯
பாதி	p aː d̪ i
பாய்	p aː j
பாயா	p aː j aː
பால்	p aː l
பாலை	p aː l a ɪ̯
பானை	p aː n a ɪ̯
பாறை	p aː r a ɪ̯
பாசை	p aː t͡ɕ a ɪ̯
பாசி	p aː t͡ɕ i
பார்	p aː ɾ
பாழ்	p aː ɻ
பாகு	p aː ɡ u
பாடு	p aː ɖ u
பெய்	p e j
பெறு	p e r u
பெண்	p e ɳ
பெரு	p e ɾ u
பேதை	p eː d̪ a ɪ̯
பேஜோ	p eː d͡ʑ oː
பேய்	p eː j
பேன்	p eː n
பேனா	p eː n aː
பேறு	p eː r u
பேசி	p eː t͡ɕ i
பேசு	p eː t͡ɕ u
பேர்	p eː ɾ
பேழை	p eː ɻ a ɪ̯
பேடி	p eː ɖ i
பிதா	p i d̪ aː
பிய்	p i j
பின்	p i n
பிறை	p i r a ɪ̯
பிசை	p i t͡ɕ a ɪ̯
பிசி	p i t͡ɕ i
பிழை	p i ɻ a ɪ̯
பிரி	p i ɾ i
பிழி	p i ɻ i
பிகு	p i ɡ u
பொது	p o d̪ u
பொன்	p o n
பொறு	p o r u
பொடி	p o ɖ i
பொரி	p o ɾ i
போதை	p oː d̪ a ɪ̯
போதி	p oː d̪ i
போது	p oː d̪ u
போல்	p oː l
போறை	p oː r a ɪ̯
போர்	p oː ɾ
போகி	p oː ɡ i
போடு	p oː ɖ u
புதை	p u d̪ a ɪ̯
புது	p u d̪ u
புலி	p u l i
புனை	p u n a ɪ̯
புறா	p u r aː
புசி	p u t͡ɕ i
புண்	p u ɳ
புகை	p u ɡ a ɪ̯
புடை	p u ɖ a ɪ̯
புரி	p u ɾ i
புளி	p u ɭ i
புவி	p u ʋ i
புகு	p u ɡ u
புழு	p u ɻ u
பூசை	p uː d͡ʑ a ɪ̯
பூஜை	p uː d͡ʑ a ɪ̯
பூனை	p uː n a ɪ̯
பூசை	p uː t͡ɕ a ɪ̯
பூசு	p uː t͡ɕ u
பூண்	p uː ɳ
பூஞை	p uː ɲ a ɪ̯
பூளை	p uː ɭ a ɪ̯
பூடு	p uː ɖ u
பதலை	p ɐ d̪ ɐ l a ɪ̯
பதவி	p ɐ d̪ ɐ ʋ i
பயம்	p ɐ j ɐ m
பயன்	p ɐ j ɐ n
பயறு	p ɐ j ɐ r u
பயணி	p ɐ j ɐ ɳ i
பலம்	p ɐ l ɐ m
பலர்	p ɐ l ɐ ɾ
பலகை	p ɐ l ɐ ɡ a ɪ̯
பலவு	p ɐ l ɐ ʋ u
பறவை	p ɐ r ɐ ʋ a ɪ̯
பசளி	p ɐ t͡ɕ ɐ ɭ i
பழைய	p ɐ ɻ a ɪ̯ j ɐ
பஃறி	p ɐ ɦ r i
பகல்	p ɐ ɡ ɐ l
படல்	p ɐ ɖ ɐ l
படம்	p ɐ ɖ ɐ m
பணம்	p ɐ ɳ ɐ m
பழம்	p ɐ ɻ ɐ m
பழமை	p ɐ ɻ ɐ m a ɪ̯
படமி	p ɐ ɖ ɐ m i
பகன்	p ɐ ɡ ɐ n
பகர்	p ɐ ɡ ɐ ɾ
பகடி	p ɐ ɡ ɐ ɖ i
பரணி	p ɐ ɾ ɐ ɳ i
படகு	p ɐ ɖ ɐ ɡ u
பரவு	p ɐ ɾ ɐ ʋ u
பளகு	p ɐ ɭ ɐ ɡ u
பழகு	p ɐ ɻ ɐ ɡ u
பகல்	pakal
பதவி	pat̪aʋi
படக்	paʈak
படம்	paʈam
பணம்	paɳam
பழமை	paɻamaj
பாஜக	paːd͡ʒaka
பால்	paːl
பாலோ	paːloː
பாதை	paːt̪aj
பட்ட	paʈʈa
பெண்	peɳ
பெரு	peɾu
பேர்	peːɾ
பேரை	peːɾaj
பியு	piju
பின்	pin
பொது	pot̪u
போய்	poːj
போலி	poːli
போது	poːt̪u
போர்	poːɾ
ப்பட	ppaʈa
பூஜை	puːd͡ʒaj
பூரி	puːɾi
ஸீமை	s iː m a ɪ̯
ஸ்ரீ	sɾiː
தகதக	t̪ a ɡ a t̪ a ɡ a
தாதை	t̪ aː d̪ a ɪ̯
தாய்	t̪ aː j
தாலி	t̪ aː l i
தாம்	t̪ aː m
தான்	t̪ aː n
தானி	t̪ aː n i
தார்	t̪ aː ɾ
தாள்	t̪ aː ɭ
தாழ்	t̪ aː ɻ
தாரை	t̪ aː ɾ a ɪ̯
தாழை	t̪ aː ɻ a ɪ̯
தாரா	t̪ aː ɾ aː
தாடி	t̪ aː ɖ i
தாளி	t̪ aː ɭ i
தாவு	t̪ aː ʋ u
தென்	t̪ e n
தெரி	t̪ e ɾ i
தெளி	t̪ e ɭ i
தெரு	t̪ e ɾ u
தேதி	t̪ eː d̪ i
தேய்	t̪ eː j
தேன்	t̪ eː n
தேனி	t̪ eː n i
தேனீ	t̪ eː n iː
தேர்	t̪ eː ɾ
தேள்	t̪ eː ɭ
தேவை	t̪ eː ʋ a ɪ̯
தேடு	t̪ eː ɖ u
திதி	t̪ i d̪ i
தின்	t̪ i n
திசை	t̪ i t͡ɕ a ɪ̯
திணை	t̪ i ɳ a ɪ̯
திரி	t̪ i ɾ i
திரு	t̪ i ɾ u
தீமை	t̪ iː m a ɪ̯
தீனி	t̪ iː n i
தீர்	t̪ iː ɾ
தீவு	t̪ iː ʋ u
தொல்	t̪ o l
தொலை	t̪ o l a ɪ̯
தொனி	t̪ o n i
தொகை	t̪ o ɡ a ɪ̯
தொடை	t̪ o ɖ a ɪ̯
தொளை	t̪ o ɭ a ɪ̯
தொகு	t̪ o ɡ u
தொடு	t̪ o ɖ u
தொழு	t̪ o ɻ u
தோல்	t̪ oː l
தோள்	t̪ oː ɭ
தோகை	t̪ oː ɡ a ɪ̯
தோணி	t̪ oː ɳ i
தோழி	t̪ oː ɻ i
தோடு	t̪ oː ɖ u
துதி	t̪ u d̪ i
துய்	t̪ u j
துறை	t̪ u r a ɪ̯
துடை	t̪ u ɖ a ɪ̯
துணை	t̪ u ɳ a ɪ̯
துளை	t̪ u ɭ a ɪ̯
துணி	t̪ u ɳ i
துளி	t̪ u ɭ i
தூபி	t̪ uː b i
தூய்	t̪ uː j
தூசி	t̪ uː t͡ɕ i
தூசு	t̪ uː t͡ɕ u
தூண்	t̪ uː ɳ
தூர்	t̪ uː ɾ
தூவி	t̪ uː ʋ i
தூவு	t̪ uː ʋ u
தலம்	t̪ ɐ l ɐ m
தவிர	t̪ ɐ ʋ i ɾ ɐ
தணல்	t̪ ɐ ɳ ɐ l
தடம்	t̪ ɐ ɖ ɐ m
தரம்	t̪ ɐ ɾ ɐ m
தளம்	t̪ ɐ ɭ ɐ m
தவம்	t̪ ɐ ʋ ɐ m
தவறு	t̪ ɐ ʋ ɐ r u
தகதக	t̪ ɐ ɡ ɐ t̪ ɐ ɡ ɐ
தளர்	t̪ ɐ ɭ ɐ ɾ
தகரை	t̪ ɐ ɡ ɐ ɾ a ɪ̯
தடவை	t̪ ɐ ɖ ɐ ʋ a ɪ̯
தவளை	t̪ ɐ ʋ ɐ ɭ a ɪ̯
தகடி	t̪ ɐ ɡ ɐ ɖ i
தரணி	t̪ ɐ ɾ ɐ ɳ i
தகடு	t̪ ɐ ɡ ɐ ɖ u
தடவு	t̪ ɐ ɖ ɐ ʋ u
தரவு	t̪ ɐ ɾ ɐ ʋ u
தனது	t̪anat̪u
தந்த	t̪an̪t̪a
தடவை	t̪aʈaʋaj
தவிர	t̪aʋiɾa
தாய்	t̪aːj
தான்	t̪aːn
தென்	t̪en
தேதி	t̪eːt̪i
தேவை	t̪eːʋaj
தொகை	t̪okaj
தோனி	t̪oːni
துறை	t̪uraj
துணை	t̪uɳaj
சௌசௌ	t͡ɕ a ʊ̯ t͡ɕ a ʊ̯
சாதி	t͡ɕ aː d̪ i
சாய்	t͡ɕ aː j
சால்	t͡ɕ aː l
சாலை	t͡ɕ aː l a ɪ̯
சாலி	t͡ɕ aː l i
சாமி	t͡ɕ aː m i
சானா	t͡ɕ aː n aː
சாறு	t͡ɕ aː r u
சாண்	t͡ɕ aː ɳ
சார்	t͡ɕ aː ɾ
சாளை	t͡ɕ aː ɭ a ɪ̯
சாணி	t͡ɕ aː ɳ i
சாவி	t͡ɕ aː ʋ i
சாடு	t͡ɕ aː ɖ u
சாவு	t͡ɕ aː ʋ u
செய்	t͡ɕ e j
செயி	t͡ɕ e j i
செல்	t͡ɕ e l
செம்	t͡ɕ e m
செந்	t͡ɕ e n̪
செறி	t͡ɕ e r i
செறு	t͡ɕ e r u
செங்	t͡ɕ e ŋ
செடி	t͡ɕ e ɖ i
செரி	t͡ɕ e ɾ i
செழி	t͡ɕ e ɻ i
செவி	t͡ɕ e ʋ i
சேதி	t͡ɕ eː d̪ i
சேய்	t͡ɕ eː j
சேலை	t͡ɕ eː l a ɪ̯
சேமி	t͡ɕ eː m i
சேனை	t͡ɕ eː n a ɪ̯
சேறு	t͡ɕ eː r u
சேர்	t͡ɕ eː ɾ
சேவை	t͡ɕ eː ʋ a ɪ̯
சேரி	t͡ɕ eː ɾ i
சிதை	t͡ɕ i d̪ a ɪ̯
சினை	t͡ɕ i n a ɪ̯
சிறு	t͡ɕ i r u
சிசு	t͡ɕ i t͡ɕ u
சிகை	t͡ɕ i ɡ a ɪ̯
சிரி	t͡ɕ i ɾ i
சீதை	t͡ɕ iː d̪ a ɪ̯
சீலை	t͡ɕ iː l a ɪ̯
சீமை	t͡ɕ iː m a ɪ̯
சீனா	t͡ɕ iː n aː
சீசா	t͡ɕ iː t͡ɕ aː
சீர்	t͡ɕ iː ɾ
சீழ்	t͡ɕ iː ɻ
சீடை	t͡ɕ iː ɖ a ɪ̯
சீவி	t͡ɕ iː ʋ i
சொல்	t͡ɕ o l
சொறி	t͡ɕ o r i
சொரி	t͡ɕ o ɾ i
சோதி	t͡ɕ oː d̪ i
சோலை	t͡ɕ oː l a ɪ̯
சோறு	t͡ɕ oː r u
சோர்	t͡ɕ oː ɾ
சோவி	t͡ɕ oː ʋ i
சுமை	t͡ɕ u m a ɪ̯
சுனை	t͡ɕ u n a ɪ̯
சுறா	t͡ɕ u r aː
சுரை	t͡ɕ u ɾ a ɪ̯
சுவை	t͡ɕ u ʋ a ɪ̯
சுழி	t͡ɕ u ɻ i
சுடு	t͡ɕ u ɖ u
சூலை	t͡ɕ uː l a ɪ̯
சூன்	t͡ɕ uː n
சூறை	t͡ɕ uː r a ɪ̯
சூட்	t͡ɕ uː ʈ
சூழ்	t͡ɕ uː ɻ
சூடு	t͡ɕ uː ɖ u
சதம்	t͡ɕ ɐ d̪ ɐ m
சமம்	t͡ɕ ɐ m ɐ m
சசம்	t͡ɕ ɐ t͡ɕ ɐ m
சகதி	t͡ɕ ɐ ɡ ɐ d̪ i
சணல்	t͡ɕ ɐ ɳ ɐ l
சவம்	t͡ɕ ɐ ʋ ɐ m
சரண்	t͡ɕ ɐ ɾ ɐ ɳ
சரத்	t͡ʃaɾat̪
சரண்	t͡ʃaɾaɳ
சாசன	t͡ʃaːt͡ʃana
சட்ட	t͡ʃaʈʈa
செட்	t͡ʃeʈ
சேய்	t͡ʃeːj
சிங்	t͡ʃiŋ
சீனா	t͡ʃiːnaː
உதறு	u d̪ ɐ r u
உதள்	u d̪ ɐ ɭ
உதகை	u d̪ ɐ ɡ a ɪ̯
உதவி	u d̪ ɐ ʋ i
உதடு	u d̪ ɐ ɖ u
உதவு	u d̪ ɐ ʋ u
உயர்	u j ɐ ɾ
உலகு	u l ɐ ɡ u
உமரி	u m ɐ ɾ i
உந்த	u n̪ d̪ ɐ
உறல்	u r ɐ l
உறழ்	u r ɐ ɻ
உறவு	u r ɐ ʋ u
உரிய	u ɾ i j ɐ
உடல்	u ɖ ɐ l
உவமை	u ʋ ɐ m a ɪ̯
உடன்	u ɖ ɐ n
உவன்	u ʋ ɐ n
உடனே	u ɖ ɐ n eː
உளறு	u ɭ ɐ r u
உணர்	u ɳ ɐ ɾ
உவர்	u ʋ ɐ ɾ
உவள்	u ʋ ɐ ɭ
உணவு	u ɳ ɐ ʋ u
உளவு	u ɭ ɐ ʋ u
உழவு	u ɻ ɐ ʋ u
உள்ள	u ɭː ɐ
உயர்	ujaɾ
உதவி	ut̪aʋi
உச்ச	ut͡ʃt͡ʃa
ஊனம்	uː n ɐ m
ஊரல்	uː ɾ ɐ l
ஊழல்	uː ɻ ɐ l
உடன்	uʈan
உரிய	uɾija
ஊதிய	uːt̪ija
உள்ள	uɭɭa
வையை	ʋ a ɪ̯ j a ɪ̯
வைவு	ʋ a ɪ̯ ʋ u
வாதை	ʋ aː d̪ a ɪ̯
ராஜா	ɾ aː d͡ʑ aː
வாய்	ʋ aː j
வாயு	ʋ aː j u
வால்	ʋ aː l
காலி	ɡ aː l i
வான்	ʋ aː n
வாசி	ʋ aː t͡ɕ i
ஞாண்	ɲ aː ɳ
வார்	ʋ aː ɾ
வாள்	ʋ aː ɭ
வாழ்	ʋ aː ɻ
வாளை	ʋ aː ɭ a ɪ̯
வாழை	ʋ aː ɻ a ɪ̯
ராணி	ɾ aː ɳ i
வாடு	ʋ aː ɖ u
வாரு	ʋ aː ɾ u
அதர்	ɐ d̪ ɐ ɾ
வெல்	ʋ e l
வெறி	ʋ e r i
வெறு	ʋ e r u
வெண்	ʋ e ɳ
வெள்	ʋ e ɭ
வெடி	ʋ e ɖ i
வெளி	ʋ e ɭ i
வேதி	ʋ eː d̪ i
ரேகை	ɾ eː h a ɪ̯
வேய்	ʋ eː j
வேலை	ʋ eː l a ɪ̯
வேலி	ʋ eː l i
வேறு	ʋ eː r u
வேசி	ʋ eː t͡ɕ i
வேர்	ʋ eː ɾ
வேள்	ʋ eː ɭ
ரேகை	ɾ eː ɡ a ɪ̯
வேளை	ʋ eː ɭ a ɪ̯
ரேவு	ɾ eː ʋ u
அஹம்	ɐ h ɐ m
விதை	ʋ i d̪ a ɪ̯
விதி	ʋ i d̪ i
வில்	ʋ i l
விலை	ʋ i l a ɪ̯
வினை	ʋ i n a ɪ̯
வினா	ʋ i n aː
விடை	ʋ i ɖ a ɪ̯
விரை	ʋ i ɾ a ɪ̯
விளை	ʋ i ɭ a ɪ̯
விழா	ʋ i ɻ aː
ரிஷி	ɾ i ʂ i
விரி	ʋ i ɾ i
விழி	ʋ i ɻ i
விடு	ʋ i ɖ u
விழு	ʋ i ɻ u
வீதி	ʋ iː d̪ i
ஐயம்	ɐ i̯ j ɐ m
ஐயன்	ɐ i̯ j ɐ n
ஐயர்	ɐ i̯ j ɐ ɾ
வீசு	ʋ iː t͡ɕ u
வீணை	ʋ iː ɳ a ɪ̯
வீடு	ʋ iː ɖ u
அயல்	ɐ j ɐ l
அயர்	ɐ j ɐ ɾ
அல்ல	ɐ l l ɐ
அலறு	ɐ l ɐ r u
அலகை	ɐ l ɐ ɡ a ɪ̯
அலகு	ɐ l ɐ ɡ u
அமர்	ɐ m ɐ ɾ
அனைய	ɐ n a ɪ̯ j ɐ
அந்த	ɐ n̪ d̪ ɐ
ரோபோ	ɾ oː b oː
ரோஜ்	ɾ oː d͡ʑ
ரோஜா	ɾ oː d͡ʑ aː
ரோம்	ɾ oː m
கோவா	ɡ oː ʋ aː
அறம்	ɐ r ɐ m
அசர்	ɐ t͡ɕ ɐ ɾ
குதி	ɡ u d̪ i
குகை	ɡ u h a ɪ̯
குரு	ɡ u ɾ u
ரூத்	ɾ uː t̪
அடைய	ɐ ɖ a ɪ̯ j ɐ
அஃது	ɐ ɦ d̪ u
வதம்	ʋ ɐ d̪ ɐ m
கஜம்	ɡ ɐ d͡ʑ ɐ m
ஶ்ரீ	ɕ ɾ iː
வயது	ʋ ɐ j ɐ d̪ u
வயல்	ʋ ɐ j ɐ l
ரயத்	ɾ ɐ j ɐ t̪
வயசு	ʋ ɐ j ɐ t͡ɕ u
வல்ல	ʋ ɐ l l ɐ
வலது	ʋ ɐ l ɐ d̪ u
வலம்	ʋ ɐ l ɐ m
வலசை	ʋ ɐ l ɐ t͡ɕ a ɪ̯
ஞமலி	ɲ ɐ m ɐ l i
ஞமன்	ɲ ɐ m ɐ n
கமகம	ɡ ɐ m ɐ ɡ ɐ m ɐ
வனம்	ʋ ɐ n ɐ m
வறம்	ʋ ɐ r ɐ m
வறடு	ʋ ɐ r ɐ ɖ u
வசதி	ʋ ɐ t͡ɕ ɐ d̪ i
ரசம்	ɾ ɐ t͡ɕ ɐ m
அகதி	ɐ ɡ ɐ d̪ i
அவதி	ɐ ʋ ɐ d̪ i
அகல்	ɐ ɡ ɐ l
அவல்	ɐ ʋ ɐ l
அகம்	ɐ ɡ ɐ m
அளம்	ɐ ɭ ɐ m
அவன்	ɐ ʋ ɐ n
அவனி	ɐ ʋ ɐ n i
அரசி	ɐ ɾ ɐ t͡ɕ i
அரசு	ɐ ɾ ɐ t͡ɕ u
அகழ்	ɐ ɡ ɐ ɻ
அடர்	ɐ ɖ ɐ ɾ
அரண்	ɐ ɾ ɐ ɳ
அவண்	ɐ ʋ ɐ ɳ
அவர்	ɐ ʋ ɐ ɾ
அவள்	ɐ ʋ ɐ ɭ
அகவை	ɐ ɡ ɐ ʋ a ɪ̯
அளவை	ɐ ɭ ɐ ʋ a ɪ̯
அவரை	ɐ ʋ ɐ ɾ a ɪ̯
அகழி	ɐ ɡ ɐ ɻ i
அடவி	ɐ ɖ ɐ ʋ i
அரளி	ɐ ɾ ɐ ɭ i
ரகம்	ɾ ɐ ɡ ɐ m
வரம்	ʋ ɐ ɾ ɐ m
வளம்	ʋ ɐ ɭ ɐ m
வளமை	ʋ ɐ ɭ ɐ m a ɪ̯
கவனி	ɡ ɐ ʋ ɐ n i
அகரு	ɐ ɡ ɐ ɾ u
அளவு	ɐ ɭ ɐ ʋ u
அழகு	ɐ ɻ ɐ ɡ u
வளர்	ʋ ɐ ɭ ɐ ɾ
வரகு	ʋ ɐ ɾ ɐ ɡ u
வரவு	ʋ ɐ ɾ ɐ ʋ u
வைகோ	ʋajkoː
வந்த	ʋan̪t̪a
வரப்	ʋaɾap
ராஜ்	ɾaːd͡ʒ
வாய்	ʋaːj
ராவ்	ɾaːʋ
வாங்	ʋaːŋ
விழா	ʋiɻaː
ஷீலா	ʂiːlaː
வீதி	ʋiːt̪i
ரோகா	ɾoːkaː
செப்.15-ம்	t͡ʃep.15-m
அமித்	amit̪
அமீர்	amiːɾ
அன்னு	annu
அன்று	anru
அபூர்	apuːɾ
அறைய்	arajj
அறையோ	arajjoː
அதைப்	at̪ajp
அதைச்	at̪ajt͡ʃ
அதில்	at̪il
அசோக்	at͡ʃoːk
ஆபிச்	aː b i t͡ɕ
ஆபீசு	aː b iː t͡ɕ u
ஆதாம்	aː d̪ aː m
ஆயிழை	aː j i ɻ a ɪ̯
ஆயுசு	aː j u t͡ɕ u
ஆயுள்	aː j u ɭ
ஆய்வு	aː j ʋ u
ஆக்கு	aː kː u
ஆலோசி	aː l oː t͡ɕ i
ஆலயம்	aː l ɐ j ɐ m
ஆலசம்	aː l ɐ t͡ɕ ɐ m
ஆமாம்	aː m aː m
ஆம்பி	aː m b i
ஆனால்	aː n aː l
ஆந்தை	aː n̪ d̪ a ɪ̯
ஆப்பு	aː pː u
ஆற்று	aː rː u
ஆசான்	aː t͡ɕ aː n
ஆசியா	aː t͡ɕ i j aː
ஆசினி	aː t͡ɕ i n i
ஆசயம்	aː t͡ɕ ɐ j ɐ m
ஆசனம்	aː t͡ɕ ɐ n ɐ m
ஆகாதே	aː ɡ aː d̪ eː
ஆராய்	aː ɾ aː j
ஆண்மை	aː ɳ m a ɪ̯
ஆட்சை	aː ʈ t͡ɕ a ɪ̯
ஆட்சி	aː ʈ t͡ɕ i
ஆளுமை	aː ɭ u m a ɪ̯
ஆளுகை	aː ɭ u ɡ a ɪ̯
ஆங்கு	aː ŋ ɡ u
ஆண்டு	aː ɳ ɖ u
ஆணவம்	aː ɳ ɐ ʋ ɐ m
ஆவணம்	aː ʋ ɐ ɳ ɐ m
ஆட்டி	aː ʈː i
ஆட்டு	aː ʈː u
அணையை	aɳajjaj
அவரது	aʋaɾat̪u
ஆஜராக	aːd͡ʒaɾaːka
ஆஜரான	aːd͡ʒaɾaːna
அணித்	aɳit̪
ஆயுள்	aːjuɭ
ஆய்வு	aːjʋu
அங்கே	aŋkeː
அங்கு	aŋku
ஆகும்	aːkum
ஆலயம்	aːlajam
ஆலைய்	aːlajj
ஆனால்	aːnaːl
ஆற்று	aːrru
ஆதரவ்	aːt̪aɾaʋ
ஆதரவு	aːt̪aɾaʋu
ஆசியா	aːt͡ʃijaː
ஆசிப்	aːt͡ʃip
அருகே	aɾukeː
அண்டை	aɳʈaj
அண்ணா	aɳɳaː
ஆளும்	aːɭum
ஆண்ட்	aːɳʈ
ஆண்டு	aːɳʈu
பானம்	b aː n ɐ m
பாகம்	b aː ɡ ɐ m
பாணம்	b aː ɳ ɐ m
பாரம்	b aː ɾ ɐ m
பாணன்	b aː ɳ ɐ n
பேரம்	b eː ɾ ɐ m
பிரமை	b i ɾ ɐ m a ɪ̯
புதன்	b u d̪ ɐ n
புஜம்	b u d͡ʑ ɐ m
புவனி	b u ʋ ɐ n i
பூதம்	b uː d̪ ɐ m
பதில்	b ɐ d̪ i l
பக்தி	b ɐ k t̪ i
பல்லி	b ɐ l l i
பந்தா	b ɐ n̪ d̪ aː
தௌலத்	d̪ a ʊ̯ l ɐ t̪
தாகம்	d̪ aː ɡ ɐ m
தேகம்	d̪ eː h ɐ m
தேசம்	d̪ eː t͡ɕ ɐ m
தேகம்	d̪ eː ɡ ɐ m
தேவன்	d̪ eː ʋ ɐ n
தீபம்	d̪ iː b ɐ m
தீபம்	d̪ iː p ɐ m
தூதன்	d̪ uː d̪ ɐ n
தூரம்	d̪ uː ɾ ɐ m
தண்டி	d̪ ɐ ɳ ɖ i
ஜெபம்	d͡ʑ e b ɐ m
ஜெயம்	d͡ʑ e j ɐ m
ஜீதம்	d͡ʑ iː d̪ ɐ m
ஜீவன்	d͡ʑ iː ʋ ɐ n
ஜீரணி	d͡ʑ iː ɾ ɐ ɳ i
ஜுரம்	d͡ʑ u ɾ ɐ m
ஜனாபா	d͡ʑ ɐ n aː b aː
ஜனகம்	d͡ʑ ɐ n ɐ ɡ ɐ m
ஜனவரி	d͡ʑ ɐ n ɐ ʋ ɐ ɾ i
ஜந்து	d͡ʑ ɐ n̪ d̪ u
ஜண்டா	d͡ʑ ɐ ɳ ɖ aː
ஜட்டி	d͡ʑ ɐ ʈː i
ஜனவரி	d͡ʒanaʋaɾi
ஜபூல்	d͡ʒapuːl
எதிர்	e d̪ i ɾ
எதிரி	e d̪ i ɾ i
எதோள்	e d̪ oː ɭ
எல்லை	e l l a ɪ̯
எம்மை	e mː a ɪ̯
என்பு	e n b u
என்று	e n r u
என்கை	e n ɡ a ɪ̯
எந்தை	e n̪ d̪ a ɪ̯
எந்து	e n̪ d̪ u
எறுழ்	e r u ɻ
எற்றை	e rː a ɪ̯
எஸ்ரா	e s ɾ aː
எத்தி	e t̪ː i
எத்து	e t̪ː u
எழால்	e ɻ aː l
எளிது	e ɭ i d̪ u
எழில்	e ɻ i l
எளிமை	e ɭ i m a ɪ̯
எகின்	e ɡ i n
எருது	e ɾ u d̪ u
எழுது	e ɻ u d̪ u
எருமை	e ɾ u m a ɪ̯
எழுவு	e ɻ u ʋ u
எங்கே	e ŋ ɡ eː
எங்கு	e ŋ ɡ u
எண்கு	e ɳ ɡ u
எண்ணை	e ɳː a ɪ̯
எட்டு	e ʈː u
எண்ணு	e ɳː u
எல்லை	ellaj
எமெலே	emeleː
என்ற்	enr
என்று	enru
எதிர்	et̪iɾ
ஏமாறு	eː m aː r u
ஏமுறு	eː m u r u
ஏற்று	eː rː u
ஏசாயா	eː t͡ɕ aː j aː
ஏத்து	eː t̪ː u
ஏவாள்	eː ʋ aː ɭ
ஏழ்மை	eː ɻ m a ɪ̯
ஏங்கு	eː ŋ ɡ u
ஏரணம்	eː ɾ ɐ ɳ ɐ m
ஏற்ற்	eːrr
ஃபோன்	f oː n
இதயம்	i d̪ ɐ j ɐ m
இயைபு	i j a ɪ̯ b u
இயேசு	i j eː t͡ɕ u
இக்லூ	i k l uː
இக்கு	i kː u
இல்லை	i l l a ɪ̯
இலுமு	i l u m u
இலயம்	i l ɐ j ɐ m
இமாம்	i m aː m
இம்சை	i m t͡ɕ a ɪ̯
இனிமை	i n i m a ɪ̯
இன்று	i n r u
இந்தி	i n̪ d̪ i
இந்து	i n̪ d̪ u
இன்னே	i nː eː
இறைவி	i r a ɪ̯ ʋ i
இறால்	i r aː l
இறுதி	i r u d̪ i
இறுகு	i r u ɡ u
இறகர்	i r ɐ ɡ ɐ ɾ
இசைவு	i t͡ɕ a ɪ̯ ʋ u
இச்சை	i t͡ɕː a ɪ̯
இராசி	i ɾ aː t͡ɕ i
இஞ்சி	i ɲ d͡ʑ i
இழிசு	i ɻ i t͡ɕ u
இழிகை	i ɻ i ɡ a ɪ̯
இழிவு	i ɻ i ʋ u
இட்லி	i ɖ l i
இட்லி	i ʈ l i
இக்லூ	i ɡ l uː
இழுதை	i ɻ u d̪ a ɪ̯
இழுது	i ɻ u d̪ u
இருமை	i ɾ u m a ɪ̯
இருமு	i ɾ u m u
இருள்	i ɾ u ɭ
இருளை	i ɾ u ɭ a ɪ̯
இருளா	i ɾ u ɭ aː
இழுகு	i ɻ u ɡ u
இடபம்	i ɖ ɐ b ɐ m
இரதம்	i ɾ ɐ d̪ ɐ m
இங்கே	i ŋ ɡ eː
இங்கு	i ŋ ɡ u
இட்டு	i ʈː u
இயக்க	ijakka
இல்லை	illaj
இன்றி	inri
இன்று	inru
இந்தி	in̪t̪i
இந்து	in̪t̪u
இதைத்	it̪ajt̪
இதில்	it̪il
ஈமான்	iː m aː n
ஈனில்	iː n i l
ஈந்து	iː n̪ d̪ u
ஈச்சு	iː t͡ɕː u
ஈடேறு	iː ɖ eː r u
ஈரோடு	iː ɾ oː ɖ u
ஈரமான	iː ɾ ɐ m aː n ɐ
ஈட்டி	iː ʈː i
ஈட்டு	iː ʈː u
இடையே	iʈajjeː
இணைச்	iɳajt͡ʃ
இழந்த	iɻan̪t̪a
ஈளாடா	iːɭaːʈaː
யாமம்	j aː m ɐ m
யானம்	j aː n ɐ m
யாவது	j aː ʋ ɐ d̪ u
யாவர்	j aː ʋ ɐ ɾ
யாவள்	j aː ʋ ɐ ɭ
யோசனை	j oː t͡ɕ ɐ n a ɪ̯
யோகம்	j oː ɡ ɐ m
யுகம்	j u ɡ ɐ m
யூதம்	j uː d̪ ɐ m
யஹ்யா	j ɐ h j aː
யமுனை	j ɐ m u n a ɪ̯
யாவர்	jaːʋaɾ
காதல்	k aː d̪ ɐ l
காதம்	k aː d̪ ɐ m
காதணி	k aː d̪ ɐ ɳ i
காயம்	k aː j ɐ m
காலம்	k aː l ɐ m
காலணி	k aː l ɐ ɳ i
காமம்	k aː m ɐ m
கானல்	k aː n ɐ l
கானலி	k aː n ɐ l i
காசறை	k aː t͡ɕ ɐ r a ɪ̯
காவல்	k aː ʋ ɐ l
காகம்	k aː ɡ ɐ m
காணம்	k aː ɳ ɐ m
காரம்	k aː ɾ ɐ m
கெட்ட	k e ʈː ɐ
கேதகை	k eː d̪ ɐ ɡ a ɪ̯
கேசரி	k eː t͡ɕ ɐ ɾ i
கேரளா	k eː ɾ ɐ ɭ aː
கிளப்	k i ɭ ɐ b
கிழமை	k i ɻ ɐ m a ɪ̯
கிளப்	k i ɭ ɐ p
கிணறு	k i ɳ ɐ r u
கிளறு	k i ɭ ɐ r u
கிளர்	k i ɭ ɐ ɾ
கிளவி	k i ɭ ɐ ʋ i
