ღ,ʁ
ანტიფაშისტი,antʼipʰaʃistʼi
ანტიფაშისტური,antʼipʰaʃistʼuɾi
ანტიციკლონი,antʼit͡sʰikʼɫoni
ანტონაშვილი,antʼonaʃʷili
ანტონი,antʼoni
ანტონიმი,antʼonimi
ანტონიშვილი,antʼoniʃʷili
ანტრაქტი,antʼɾakʰtʼi
ანტრესოლი,antʼɾesoli
ანტურაჟი,antʼuɾaʒi
ანუაშვილი,anuaʃʷili
ანუგეშებს,anuɡeʃebs
ანძა,and͡za
ანძრევს,and͡zɾefs
ანწლი,ant͡sʼli
ანჯამა,and͡ʒama
აოთხმაგებს,aotʰχmaɡebs
აორისტი,aoɾistʼi
აორტა,aoɾtʼa
აპათია,apʼatʰia
აპათიურად,apʼatʰiuɾad
აპათიური,apʼatʰiuɾi
აპარატად,apʼaɾatʼad
აპარატი,apʼaɾatʼi
აპარატით,apʼaɾatʼitʰ
აპარატის,apʼaɾatʼis
აპარატმა,apʼaɾatʼma
აპარატო,apʼaɾatʼo
აპარატს,apʼaɾatʼs
აპატიებს,apʼatʼiebs
აპენდიქსი,apʼendikʰsi
აპენდიციტი,apʼendit͡sʰitʼi
აპირებს,apʼiɾebs
აპკოვანი,apʼkʼovani
აპლიკაცია,apʼlikʼat͡sʰia
აპლოდისმენტი,apʼɫodismentʼi
აპლომბი,apʼɫombi
აპნისი,apʼnisi
აპოგეა,apʼoɡea
აპოკალიფსი,apʼokʼalipʰsi
აპოკალიფსური,apʼokʼalipʰsuɾi
აპოკრიფული,apʼokʼɾipʰuli
აპოლოგეტი,apʼoɫoɡetʼi
აპოლოგეტიკა,apʼoɫoɡetʼikʼa
აპრილად,apʼɾiɫad
აპრილი,apʼɾili
აპრილით,apʼɾilitʰ
აპრილის,apʼɾilis
აპრილმა,apʼɾilma
აპრილს,apʼɾils
აპრიორი,apʼɾioɾi
აპრიორული,apʼɾioɾuli
არ,aɾ
არა,aɾa
არაადეკვატურად,aɾaadekʼʷatʼuɾad
არაადეკვატური,aɾaadekʼʷatʼuɾi
არააკურატულად,aɾaakʼuɾatʼuɫad
არაალკოჰოლური,aɾaalkʼohoɫuɾi
არაარსებითი,aɾaaɾsebitʰi
არაბაშვილი,aɾabaʃʷili
არაბესკები,aɾabeskʼebi
არაბი,aɾabi
არაბინარული,aɾabinaɾuli
არაბისტი,aɾabistʼi
არაბიძე,aɾabid͡ze
არაბული,aɾabuli
არაბუნებრივად,aɾabunebɾivad
არაბუნებრივი,aɾabunebɾivi
არაგანახლებადი,aɾaɡanaχlebadi
არაგვიშვილი,aɾaɡʷiʃʷili
არაგონებამახვილურად,aɾaɡonebamaχʷiɫuɾad
არაგონივრულად,aɾaɡonivɾuɫad
არაგონივრული,aɾaɡonivɾuli
არაგრამატიკულად,aɾaɡɾamatʼikʼuɫad
არაგულწრფელად,aɾaɡult͡sʼɾpʰeɫad
არაგულწრფელი,aɾaɡult͡sʼɾpʰeli
არადა,aɾada
არადაგუგვლადი,aɾadaɡuɡʷɫadi
არადამაკმაყოფილებლად,aɾadamakʼmaχʼopʰilebɫad
არადამახასიათებლად,aɾadamaχasiatʰebɫad
არადამაჯერებლად,aɾadamad͡ʒeɾebɫad
არადემოკრატიულად,aɾademokʼɾatʼiuɫad
არადიპლომატიურად,aɾadipʼɫomatʼiuɾad
არადრამატულად,aɾadɾamatʼuɫad
არაეთიკურად,aɾaetʰikʼuɾad
არაეთიკური,aɾaetʰikʼuɾi
არაეკონომიურად,aɾaekʼonomiuɾad
არაერთხელ,aɾaeɾtʰχel
არაეფექტური,aɾaepʰekʰtʼuɾi
არავითარი,aɾavitʰaɾi
არავინ,aɾavin
არაზუსტად,aɾazustʼad
არაზუსტი,aɾazustʼi
არათანაბარი,aɾatʰanabaɾi
არათანაბრად,aɾatʰanabɾad
არათანაშვილი,aɾatʰanaʃʷili
არათანმიმდევრულად,aɾatʰanmimdevɾuɫad
არათითი,aɾatʰitʰi
არაკი,aɾakʼi
არაკომპეტენტურად,aɾakʼompʼetʼentʼuɾad
არაკონსტიტუციურად,aɾakʼonstʼitʼut͡sʰiuɾad
არაკორექტულად,aɾakʼoɾekʰtʼuɫad
არაკორექტული,aɾakʼoɾekʰtʼuli
არალოგიკურად,aɾaɫoɡikʼuɾad
არალოგიკური,aɾaɫoɡikʼuɾi
არალოიალურად,aɾaɫoiaɫuɾad
არამაგობრულად,aɾamaɡobɾuɫad
არამეგობრული,aɾameɡobɾuli
არამედ,aɾamed
არამეცნიერულად,aɾamet͡sʰnieɾuɫad
არამზადა,aɾamzada
არამიმზიდველად,aɾamimzidʷeɫad
არამოდურად,aɾamoduɾad
არამოხდენილად,aɾamoχdeniɫad
არამსგავსი,aɾamsɡafsi
არამუსიკალურად,aɾamusikʼaɫuɾad
არამყარად,aɾamχʼaɾad
არამყარი,aɾamχʼaɾi
არამყარობა,aɾamχʼaɾoba
არანაირად,aɾanaiɾad
არანაირი,aɾanaiɾi
არანორმალურად,aɾanoɾmaɫuɾad
არანორმალური,aɾanoɾmaɫuɾi
არაორაზროვნად,aɾaoɾazɾovnad
არაორგანულად,aɾaoɾɡanuɫad
არაორგანული,aɾaoɾɡanuli
არაოფიციალურად,aɾaopʰit͡sʰiaɫuɾad
არაოფიციალური,aɾaopʰit͡sʰiaɫuɾi
არაპატრიოტულად,aɾapʼatʼɾiotʼuɫad
არაპირდაპირად,aɾapʼiɾdapʼiɾad
არაპირდაპირი,aɾapʼiɾdapʼiɾi
არაპროდუქტიულად,aɾapʼɾodukʰtʼiuɫad
არაპროპორციულად,aɾapʼɾopʼoɾt͡sʰiuɫad
არაპროფესიონალი,aɾapʼɾopʰesionali
არაპროფესიონალური,aɾapʼɾopʰesionaɫuɾi
არარაობა,aɾaɾaoba
არარატი,aɾaɾatʼi
არარეალობა,aɾaɾeaɫoba
არარეალოისტურად,aɾaɾeaɫoistʼuɾad
არარეალურად,aɾaɾeaɫuɾad
არარეალური,aɾaɾeaɫuɾi
არარეგულარულად,aɾaɾeɡuɫaɾuɫad
არარენტაბელურად,aɾaɾentʼabeɫuɾad
არარომანტიკულად,aɾaɾomantʼikʼuɫad
არასავალდებულო,aɾasavaldebuɫo
არასავალდებულოდ,aɾasavaldebuɫod
არასაიმედო,aɾasaimedo
არასაიმედოდ,aɾasaimedod
არასაკმაო,aɾasakʼmao
არასაკმარისად,aɾasakʼmaɾisad
არასაკმარისი,aɾasakʼmaɾisi
არასამართლიანად,aɾasamaɾtʰlianad
არასამართლიანი,aɾasamaɾtʰliani
არასამართლიანობა,aɾasamaɾtʰlianoba
არასანდო,aɾasando
არასანუგეშო,aɾasanuɡeʃo
არასასიამოვნოდ,aɾasasiamovnod
არასასურველი,aɾasasuɾʷeli
არასაჭირო,aɾasat͡ʃʼiɾo
არასდროს,aɾasdɾos
არასეზონურად,aɾasezonuɾad
არასეზონური,aɾasezonuɾi
არასექსუალური,aɾasekʰsuaɫuɾi
არასისტემატურად,aɾasistʼematʼuɾad
არასკრუპულოზურად,aɾaskʼɾupʼuɫozuɾad
არასოდეს,aɾasodes
არასპეციფიკურად,aɾaspʼet͡sʰipʰikʼuɾad
არასპორტულად,aɾaspʼoɾtʼuɫad
არასრულად,aɾasɾuɫad
არასრული,aɾasɾuli
არასრულყოფილად,aɾasɾulχʼopʰiɫad
არასწორად,aɾast͡sʼoɾad
არასწორი,aɾast͡sʼoɾi
არატიპიურად,aɾatʼipʼiuɾad
არატიპური,aɾatʼipʼuɾi
არაფერი,aɾapʰeɾi
არაფერს,aɾapʰeɾs
არაფორმალურად,aɾapʰoɾmaɫuɾad
არაფორმალური,aɾapʰoɾmaɫuɾi
არაფრის,aɾapʰɾis
არაქათი,aɾakʰatʰi
არაქისი,aɾakʰisi
არაყი,aɾaχʼi
არაყიშვილი,aɾaχʼiʃʷili
არაშთამბეჭდავად,aɾaʃtʰambet͡ʃʼdavad
არაჩაშვილი,aɾat͡ʃʰaʃʷili
არაჩვეულებრივად,aɾat͡ʃʰʷeulebɾivad
არაჩვეულებრივი,aɾat͡ʃʰʷeulebɾivi
არაწესიერად,aɾat͡sʼesieɾad
არაწესიერი,aɾat͡sʼesieɾi
არახელსაყრელად,aɾaχelsaχʼɾeɫad
არახჩინი,aɾaχt͡ʃʰini
არაჯანსაღი,aɾad͡ʒansaʁi
არაჰიგიენურად,aɾahiɡienuɾad
არაჰიგიენური,aɾahiɡienuɾi
არაჰუმანურად,aɾahumanuɾad
არაჰუმანური,aɾahumanuɾi
არბილებს,aɾbilebs
არბიტრი,aɾbitʼɾi
არბოლაშვილი,aɾboɫaʃʷili
არბოლიშვილი,aɾboliʃʷili
არგამოყენება,aɾɡamoχʼeneba
არგანაშვილი,aɾɡanaʃʷili
არგენტინა,aɾɡentʼina
არგენტინად,aɾɡentʼinad
არგენტინამ,aɾɡentʼinam
არგენტინას,aɾɡentʼinas
არგენტინით,aɾɡentʼinitʰ
არგენტინის,aɾɡentʼinis
არგო,aɾɡo
არგონავტი,aɾɡonaftʼi
არგონი,aɾɡoni
არგუმენტაცია,aɾɡumentʼat͡sʰia
არგუმენტი,aɾɡumentʼi
არგუსი,aɾɡusi
არდადეგები,aɾdadeɡebi
არდაზიშვილი,aɾdaziʃʷili
არდემანაშვილი,aɾdemanaʃʷili
არდი,aɾdi
არე,aɾe
არეგულირებს,aɾeɡuliɾebs
არევაძე,aɾevad͡ze
არენა,aɾena
არენბი,aɾenbi
არეულდარეულობა,aɾeuldaɾeuɫoba
არეული,aɾeuli
არეულობა,aɾeuɫoba
არეშიძე,aɾeʃid͡ze
ართავს,aɾtʰafs
ართურმა,aɾtʰuɾma
არია,aɾia
არიან,aɾian
არიერგარდი,aɾieɾɡaɾdi
არიზონა,aɾizona
არითმეტიკა,aɾitʰmetʼikʼa
არითმეტიკულად,aɾitʰmetʼikʼuɫad
არითმეტიკული,aɾitʰmetʼikʼuli
არითმომეტრი,aɾitʰmometʼɾi
არიმანი,aɾimani
არის,aɾis
არისტოკრატი,aɾistʼokʼɾatʼi
არისტოკრატია,aɾistʼokʼɾatʼia
არისტოკრატულად,aɾistʼokʼɾatʼuɫad
არისტოტელე,aɾistʼotʼele
არიული,aɾiuli
არიფი,aɾipʰi
არმატურა,aɾmatʼuɾa
არმეგონაშვილი,aɾmeɡonaʃʷili
არმია,aɾmia
არმიად,aɾmiad
არმიამ,aɾmiam
არმიას,aɾmias
არმიით,aɾmiitʰ
არმიის,aɾmiis
არმოსავლეთისა,aɾmosavletʰisa
არმცოდნე,aɾmt͡sʰodne
არნახული,aɾnaχuli
არნიკა,aɾnikʼa
აროდეს,aɾodes
არომატი,aɾomatʼi
არომატულად,aɾomatʼuɫad
არომატული,aɾomatʼuli
არომატულობა,aɾomatʼuɫoba
არს,aɾs
არსად,aɾsad
არსანიძე,aɾsanid͡ze
არსება,aɾseba
არსებები,aɾsebebi
არსებითად,aɾsebitʰad
არსებითი,aɾsebitʰi
არსებობ,aɾsebob
არსებობა,aɾseboba
არსებობს,aɾsebobs
არსებული,aɾsebuli
არსენალი,aɾsenali
არსენაძე,aɾsenad͡ze
არსი,aɾsi
არსიაშვილი,aɾsiaʃʷili
არსით,aɾsitʰ
არსოშვილი,aɾsoʃʷili
არტალა,aɾtʼaɫa
არტემაშვილი,aɾtʼemaʃʷili
არტერია,aɾtʼeɾia
არტერიული,aɾtʼeɾiuli
არტიკულირებულად,aɾtʼikʼuliɾebuɫad
არტილერია,aɾtʼileɾia
არტილერისტი,aɾtʼileɾistʼi
არტისტი,aɾtʼistʼi
არტისტიზმი,aɾtʼistʼizmi
არტისტულად,aɾtʼistʼuɫad
არტისტული,aɾtʼistʼuli
არტიშოკი,aɾtʼiʃokʼi
არუბა,aɾuba
არუნაშვილი,aɾunaʃʷili
არფა,aɾpʰa
არქაიზმი,aɾkʰaizmi
არქანია,aɾkʰania
არქაული,aɾkʰauli
არქეოლოგი,aɾkʰeoɫoɡi
არქეოლოგია,aɾkʰeoɫoɡia
