はっ	h a̠ ʔ
あげはちょう	a̠ ɡ e̞ h a̠ t͡ɕ o̞ː
あけはなす	a̠ k e̞ h a̠ n a̠ s ɨᵝ
あけび	a̠ k e̞ bʲ i
あけび	a̠ k e̞ bʲ i
あけぼの	a̠ k e̞ b o̞ n o̞
あげぽよ	a̠ ɡ e̞ p o̞ j o̞
あげまん	a̠ ɡ e̞ m ã̠ ɴ
あけみ	a̠ k e̞ mʲ i
あけみ	a̠ k e̞ mʲ i
あげもの	a̠ ɡ e̞ m o̞ n o̞
あげる	a̠ ɡ e̞ ɾ ɯ̟ᵝ
あげる	a̠ ɡ e̞ ɾ ɯ̟ᵝ
あげる	a̠ ɡ e̞ ɾ ɯ̟ᵝ
アケローン	a̠ k e̞ ɾ õ̞ː ɴ
あけわたし	a̠ k e̞ ɰᵝ a̠ t a̠ ɕ i
あけわたす	a̠ k e̞ ɰᵝ a̠ t a̠ s ɨᵝ
とびうお	t o̞ bʲ i ɯ̟ᵝ o̞
あこう	a̠ k o̞ː
あこう	a̠ k o̞ː
アコーディオン	a̠ k o̞ː dʲ i õ̞ ɴ
アコーデオン	a̠ k o̞ː d e̞ õ̞ ɴ
あこがれ	a̠ k o̞ ɡ a̠ ɾ e̞
あこがれる	a̠ k o̞ ɡ a̠ ɾ e̞ ɾ ɯ̟ᵝ
あこぎ	a̠ k o̞ ɡʲ i
あごひげ	a̠ ɡ o̞ ç i ɡ e̞
あざ	a̠ z a̠
アサイ	a̠ s a̠ i
あさい	a̠ s a̠ i
アサイー	a̠ s a̠ iː
あさいち	a̠ s a̠ i t͡ɕ i
あさいろ	a̠ s a̠ i ɾ o̞
あさおき	a̠ s a̠ o̞ kʲ i
あさか	a̠ s a̠ k a̠
あさがえり	a̠ s a̠ ɡ a̠ e̞ ɾʲ i
あさがすみ	a̠ s a̠ ɡ a̠ s ɨᵝ mʲ i
あさがた	a̠ s a̠ ɡ a̠ t a̠
あさかつ	a̠ s a̠ k a̠ t͡s ɨᵝ
あさぎり	a̠ s a̠ ɡʲ i ɾʲ i
あさくら	a̠ s a̠ k ɯ̟ᵝ ɾ a̠
あさぐろい	a̠ s a̠ ɡ ɯ̟ᵝ ɾ o̞ i
あざける	a̠ z a̠ k e̞ ɾ ɯ̟ᵝ
あさチュン	a̠ s a̠ t͡ɕ ɨ̃ᵝ ɴ
あさっぱら	a̠ s a̠ p̚ p a̠ ɾ a̠
あさと	a̠ s a̠ t o̞
あざとい	a̠ z a̠ t o̞ i
あさどり	a̠ s a̠ d o̞ ɾʲ i
じ	d͡ʑ i
あざなう	a̠ z a̠ n a̠ ɯ̟ᵝ
あさなわ	a̠ s a̠ n a̠ ɰᵝ a̠
あさね	a̠ s a̠ n e̞
あさはか	a̠ s a̠ h a̠ k a̠
あさばん	a̠ s a̠ b ã̠ ɴ
あさばん	a̠ s a̠ b ã̠ ɴ
あさひ	a̠ s a̠ ç i
あさひかわ	a̠ s a̠ ç i k a̠ ɰᵝ a̠
あさひこ	a̠ s a̠ ç i k o̞
アサヒる	a̠ s a̠ ç i ɾ ɯ̟ᵝ
あさひる	a̠ s a̠ ç i ɾ ɯ̟ᵝ
あさぶろ	a̠ s a̠ b ɯ̟ᵝ ɾ o̞
あさぼらけ	a̠ s a̠ b o̞ ɾ a̠ k e̞
あさましい	a̠ s a̠ m a̠ ɕ i i
あざみ	a̠ z a̠ mʲ i
あざむく	a̠ z a̠ m ɯ̟ᵝ k ɯ̟ᵝ
あさもや	a̠ s a̠ m o̞ j a̠
あざやか	a̠ z a̠ j a̠ k a̠
あさやけ	a̠ s a̠ j a̠ k e̞
あさゆ	a̠ s a̠ j ɯ̟ᵝ
ちょうせき	t͡ɕ o̞ː s e̞ kʲ i
あさる	a̠ s a̠ ɾ ɯ̟ᵝ
あされん	a̠ s a̠ ɾ ẽ̞ ɴ
あざわらう	a̠ z a̠ ɰᵝ a̠ ɾ a̠ ɯ̟ᵝ
あし	a̠ ɕ i
アシ	a̠ ɕ i
アジ	a̠ ʑ i
あじ	a̠ ʑ i
あじ	a̠ ʑ i
アジア	a̠ ʑ i a̠
あしい	a̠ ɕ iː
あしか	a̠ ɕ i̥ k a̠
あしかが	a̠ ɕ i k a̠ ɡ a̠
あしかがじだい	a̠ ɕ i k a̠ ɡ a̠ ʑ i d a̠ i
あがき	a̠ ɡ a̠ kʲ i
アシガバート	a̠ ɕ i ɡ a̠ b a̠ː t o̞
あしからず	a̠ ɕ i̥ k a̠ ɾ a̠ z ɨᵝ
あしがる	a̠ ɕ i ɡ a̠ ɾ ɯ̟ᵝ
あしき	a̠ ɕ i kʲ i
あしきり	a̠ ɕ i kʲ i ɾʲ i
あじきない	a̠ ʑ i kʲ i n a̠ i
あしコキ	a̠ ɕ i k o̞ kʲ i
あじさし	a̠ ʑ i s a̠ ɕ i
あしざま	a̠ ɕ i z a̠ m a̠
あししげく	a̠ ɕ i ɕ i ɡ e̞ k ɯ̟ᵝ
アジスアベバ	a̠ ʑ i s ɨᵝ a̠ b e̞ b a̠
アシスタント	a̠ ɕ i s ɨ̥ᵝ t ã̠ n t o̞
アジソンびょう	a̠ ʑ i s õ̞ m bʲ o̞ː
あじたま	a̠ ʑ i t a̠ m a̠
あしたれぼし	a̠ ɕ i t a̠ ɾ e̞ b o̞ ɕ i
あじつけ	a̠ ʑ i t͡s ɨ̥ᵝ k e̞
あしつぼ	a̠ ɕ i t͡s ɨᵝ b o̞
あしてまとい	a̠ ɕ i̥ t e̞ m a̠ t o̞ i
アジト	a̠ ʑ i t o̞
あじのもと	a̠ ʑ i n o̞ m o̞ t o̞
あしばや	a̠ ɕ i b a̠ j a̠
あしび	a̠ ɕ i bʲ i
あしぶみ	a̠ ɕ i b ɯ̟ᵝ mʲ i
あしまわり	a̠ ɕ i m a̠ ɰᵝ a̠ ɾʲ i
あじみ	a̠ ʑ i mʲ i
あじむ	a̠ ʑ i m ɯ̟ᵝ
あしゃ	a̠ ɕ a̠
アジャスト	a̠ ʑ a̠ s ɨᵝ t o̞
アジヤ	a̠ ʑ i j a̠
アジア	a̠ ʑ i a̠
あしゅ	a̠ ɕ ɨᵝ
あしゅう	a̠ ɕ ɨᵝː
あしゆ	a̠ ɕ i j ɯ̟ᵝ
あしょうさん	a̠ ɕ o̞ː s ã̠ ɴ
アシル	a̠ ɕ i ɾ ɯ̟ᵝ
アジる	a̠ ʑ i ɾ ɯ̟ᵝ
アシルき	a̠ ɕ i ɾ ɯ̟ᵝ kʲ i
あじわい	a̠ ʑ i ɰᵝ a̠ i
あじわう	a̠ ʑ i ɰᵝ a̠ ɯ̟ᵝ
アスガード	a̠ s ɨᵝ ɡ a̠ː d o̞
あすかじだい	a̠ s ɨᵝ k a̠ ʑ i d a̠ i
アスガルズ	a̠ s ɨᵝ ɡ a̠ ɾ ɯ̟ᵝ z ɨᵝ
アスガルト	a̠ s ɨᵝ ɡ a̠ ɾ ɯ̟ᵝ t o̞
アスガルド	a̠ s ɨᵝ ɡ a̠ ɾ ɯ̟ᵝ d o̞
あずける	a̠ z ɨᵝ k e̞ ɾ ɯ̟ᵝ
アスタチン	a̠ s ɨᵝ t a̠ t͡ɕ ĩ ɴ
アステカ	a̠ s ɨ̥ᵝ t e̞ k a̠
アステリスク	a̠ s ɨ̥ᵝ t e̞ ɾʲ i s ɨ̥ᵝ k ɯ̟ᵝ
アストリア	a̠ s ɨᵝ t o̞ ɾʲ i a̠
アストリヤ	a̠ s ɨᵝ t o̞ ɾʲ i j a̠
アストレア	a̠ s ɨᵝ t o̞ ɾ e̞ a̠
アストロターフ	a̠ s ɨᵝ t o̞ ɾ o̞ t a̠ː ɸ ɯ̟ᵝ
あすなろ	a̠ s ɨᵝ n a̠ ɾ o̞
アスパラ	a̠ s ɨᵝ p a̠ ɾ a̠
アスパラガス	a̠ s ɨ̥ᵝ p a̠ ɾ a̠ ɡ a̠ s ɨᵝ
アスパラギン	a̠ s ɨᵝ p a̠ ɾ a̠ ɡʲ ĩ ɴ
アスパラギンさん	a̠ s ɨᵝ p a̠ ɾ a̠ ɡʲ ĩ ɰ̃ s ã̠ ɴ
アスピック	a̠ s ɨᵝ pʲ i k̚ k ɯ̟ᵝ
アスピリン	a̠ s ɨ̥ᵝ pʲ i ɾʲ ĩ ɴ
アスファルト	a̠ s ɨ̥ᵝ ɸ a̠ ɾ ɯ̟ᵝ t o̞
アスペ	a̠ s ɨᵝ p e̞
アスベスト	a̠ s ɨᵝ b e̞ s ɨ̥ᵝ t o̞
アスペルギルス	a̠ s ɨᵝ p e̞ ɾ ɯ̟ᵝ ɡʲ i ɾ ɯ̟ᵝ s ɨᵝ
あずまくだり	a̠ z ɨᵝ m a̠ k ɯ̟ᵝ d a̠ ɾʲ i
あずまごと	a̠ z ɨᵝ m a̠ ɡ o̞ t o̞
あずまや	a̠ z ɨᵝ m a̠ j a̠
あんじゅう	ã̠ ɲ̟ d͡ʑ ɨᵝː
あしゅら	a̠ ɕ ɨᵝ ɾ a̠
アスリート	a̠ s ɨᵝ ɾʲ iː t o̞
アスレチック	a̠ s ɨᵝ ɾ e̞ t͡ɕ i̥ k̚ k ɯ̟ᵝ
アズレン	a̠ z ɨᵝ ɾ ẽ̞ ɴ
アスンシオン	a̠ s ɨ̃ᵝ ɰ̃ ɕ i õ̞ ɴ
あせくさい	a̠ s e̞ k ɯ̟̊ᵝ s a̠ i
あせだく	a̠ s e̞ d a̠ k ɯ̟ᵝ
アゼチジン	a̠ z e̞ t͡ɕ i ʑ ĩ ɴ
アセチレン	a̠ s e̞ t͡ɕ i ɾ ẽ̞ ɴ
あせっかき	a̠ s e̞ k̚ k a̠ kʲ i
アセティシズム	a̠ s e̞ tʲ i ɕ i z ɨᵝ m ɯ̟ᵝ
アセナフテン	a̠ s e̞ n a̠ ɸ ɯ̟ᵝ t ẽ̞ ɴ
かんしん	k ã̠ ɰ̃ ɕ ĩ ɴ
あせまみれ	a̠ s e̞ m a̠ mʲ i ɾ e̞
あぜみち	a̠ z e̞ mʲ i t͡ɕ i
あせり	a̠ s e̞ ɾʲ i
あせる	a̠ s e̞ ɾ ɯ̟ᵝ
あせる	a̠ s e̞ ɾ ɯ̟ᵝ
アゼルバイジャン	a̠ z e̞ ɾ ɯ̟ᵝ b a̠ i ʑ ã̠ ɴ
アゼルバイジャンじん	a̠ z e̞ ɾ ɯ̟ᵝ b a̠ i ʑ ã̠ ɲ̟ d͡ʑ ĩ ɴ
あぜん	a̠ z ẽ̞ ɴ
あそ	a̠ s o̞
アゾール	a̠ z o̞ː ɾ ɯ̟ᵝ
あそこ	a̠ s o̞ k o̞
あそばす	a̠ s o̞ b a̠ s ɨᵝ
あそび	a̠ s o̞ bʲ i
あそびごころ	a̠ s o̞ bʲ i ɡ o̞ k o̞ ɾ o̞
あそびにん	a̠ s o̞ bʲ i ɲ̟ ĩ ɴ
あそびば	a̠ s o̞ bʲ i b a̠
あそぶ	a̠ s o̞ b ɯ̟ᵝ
あだ	a̠ d a̠
あだ	a̠ d a̠
あだ	a̠ d a̠
あたい	a̠ t a̠ i
あたいする	a̠ t a̠ i s ɨᵝ ɾ ɯ̟ᵝ
あたいりく	a̠ t a̠ i ɾʲ i k ɯ̟ᵝ
あたう	a̠ t a̠ ɯ̟ᵝ
あたえる	a̠ t a̠ e̞ ɾ ɯ̟ᵝ
あたおか	a̠ t a̠ o̞ k a̠
あたかも	a̠ t a̠ k a̠ m o̞
あだかも	a̠ d a̠ k a̠ m o̞
あたくし	a̠ t a̠ k ɯ̟̊ᵝ ɕ i
あたご	a̠ t a̠ ɡ o̞
あたし	a̠ t a̠ ɕ i
あたたか	a̠ t a̠ t a̠ k a̠
あたたかい	a̠ t a̠ t a̠ k a̠ i
あたたまる	a̠ t a̠ t a̠ m a̠ ɾ ɯ̟ᵝ
あたためる	a̠ t a̠ t a̠ m e̞ ɾ ɯ̟ᵝ
アタック	a̠ t a̠ k̚ k ɯ̟ᵝ
アタッシェ	a̠ t a̠ ɕː e̞
あだなす	a̠ d a̠ n a̠ s ɨᵝ
あだばな	a̠ d a̠ b a̠ n a̠
あたふた	a̠ t a̠ ɸ ɯ̟ᵝ t a̠
あたまきん	a̠ t a̠ m a̠ kʲ ĩ ɴ
あたまごなし	a̠ t a̠ m a̠ ɡ o̞ n a̠ ɕ i
あたまじらみ	a̠ t a̠ m a̠ ʑ i ɾ a̠ mʲ i
あたまだかがた	a̠ t a̠ m a̠ d a̠ k a̠ ɡ a̠ t a̠
あたみ	a̠ t a̠ mʲ i
アダム	a̠ d a̠ m ɯ̟ᵝ
アダムズ	a̠ d a̠ m ɯ̟ᵝ z ɨᵝ
あたらしい	a̠ t a̠ ɾ a̠ ɕ iː
あたらしいせいかつようしき	a̠ t a̠ ɾ a̠ ɕ iː s e̞ː k a̠ t͡s ɨᵝ j o̞ː ɕ i kʲ i
アタリ	a̠ t a̠ ɾʲ i
あたり	a̠ t a̠ ɾʲ i
あたりさわり	a̠ t a̠ ɾʲ i s a̠ ɰᵝ a̠ ɾʲ i
あたりどし	a̠ t a̠ ɾʲ i d o̞ ɕ i
あたりや	a̠ t a̠ ɾʲ i j a̠
あたる	a̠ t a̠ ɾ ɯ̟ᵝ
あたる	a̠ t a̠ ɾ ɯ̟ᵝ
アダルティ	a̠ d a̠ ɾ ɯ̟ᵝ tʲ i
アダルティー	a̠ d a̠ ɾ ɯ̟ᵝ tʲ iː
アダルティック	a̠ d a̠ ɾ ɯ̟ᵝ tʲ i k̚ k ɯ̟ᵝ
アダルト	a̠ d a̠ ɾ ɯ̟ᵝ t o̞
アダルトビデオ	a̠ d a̠ ɾ ɯ̟ᵝ t o̞ bʲ i d e̞ o̞
あだん	a̠ d ã̠ ɴ
あちゃあ	a̠ t͡ɕ a̠ː
あちら	a̠ t͡ɕ i ɾ a̠
あっ	a̠ ʔ
あっか	a̠ k̚ k a̠
あっかん	a̠ k̚ k ã̠ ɴ
あっかん	a̠ k̚ k ã̠ ɴ
あっかん	a̠ k̚ k ã̠ ɴ
わるくち	ɰᵝ a̠ ɾ ɯ̟ᵝ k ɯ̟̊ᵝ t͡ɕ i
アックス	a̠ k̚ k ɯ̟ᵝ s ɨᵝ
あっけない	a̠ k̚ k e̞ n a̠ i
あっけらかん	a̠ k̚ k e̞ ɾ a̠ k ã̠ ɴ
あっこうぞうごん	a̠ k̚ k o̞ː z o̞ː ɡ õ̞ ɴ
あっさく	a̠ sː a̠ k ɯ̟ᵝ
あっさつ	a̠ sː a̠ t͡s ɨᵝ
あっさぶ	a̠ sː a̠ b ɯ̟ᵝ
アッサム	a̠ sː a̠ m ɯ̟ᵝ
あっさり	a̠ sː a̠ ɾʲ i
あっし	a̠ ɕː i
あっし	a̠ ɕː i
アッシー	a̠ ɕː iː
アッシーくん	a̠ ɕː iː k ɯ̟̃ᵝ ɴ
アッシリア	a̠ ɕː i ɾʲ i a̠
あっせい	a̠ sː e̞ː
あっせい	a̠ sː e̞ː
あったかい	a̠ t̚ t a̠ k a̠ i
あたたまる	a̠ t a̠ t a̠ m a̠ ɾ ɯ̟ᵝ
あたためる	a̠ t a̠ t a̠ m e̞ ɾ ɯ̟ᵝ
あたら	a̠ t a̠ ɾ a̠
あちらこちら	a̠ t͡ɕ i ɾ a̠ k o̞ t͡ɕ i ɾ a̠
あっちゃえ	a̠ t̚ t͡ɕ a̠ e̞
あっちゃく	a̠ t̚ t͡ɕ a̠ k ɯ̟ᵝ
あっちゃこっちゃ	a̠ t̚ t͡ɕ a̠ k o̞ t̚ t͡ɕ a̠
あっとう	a̠ t̚ t o̞ː
あっとうてき	a̠ t̚ t o̞ː t e̞ kʲ i
アットホーム	a̠ t̚ t o̞ h o̞ː m ɯ̟ᵝ
アッパー	a̠ p̚ p a̠ː
あっぱれ	a̠ p̚ p a̠ ɾ e̞
アッピール	a̠ p̚ʲ pʲ iː ɾ ɯ̟ᵝ
アップ	a̠ p̚ p ɯ̟ᵝ
あっぷく	a̠ p̚ p ɯ̟ᵝ k ɯ̟ᵝ
アップテンポ	a̠ p̚ p ɯ̟ᵝ t ẽ̞ m p o̞
アップリケ	a̠ p̚ p ɯ̟ᵝ ɾʲ i k e̞
アップル	a̠ p̚ p ɯ̟ᵝ ɾ ɯ̟ᵝ
アップローダー	a̠ p̚ p ɯ̟ᵝ ɾ o̞ː d a̠ː
アップロード	a̠ p̚ p ɯ̟ᵝ ɾ o̞ː d o̞
アッラー	a̠ ɾ̚ ɾ a̠ː
アッラーフ	a̠ ɾ̚ ɾ a̠ː ɸ ɯ̟ᵝ
あつ	a̠ t͡s ɨᵝ
あつあつ	a̠ t͡s ɨᵝ a̠ t͡s ɨᵝ
あつい	a̠ t͡s ɨᵝ i
あつい	a̠ t͡s ɨᵝ i
あつい	a̠ t͡s ɨᵝ i
あつか	a̠ t͡s ɨᵝ k a̠
あつかい	a̠ t͡s ɨ̥ᵝ k a̠ i
あつかう	a̠ t͡s ɨ̥ᵝ k a̠ ɯ̟ᵝ
あつかましい	a̠ t͡s ɨ̥ᵝ k a̠ m a̠ ɕ i i
あつがみ	a̠ t͡s ɨᵝ ɡ a̠ mʲ i
あつかん	a̠ t͡s ɨᵝ k ã̠ ɴ
あつぎ	a̠ t͡s ɨᵝ ɡʲ i
あつくるしい	a̠ t͡s ɨᵝ k ɯ̟ᵝ ɾ ɯ̟ᵝ ɕ iː
あつさしのぎ	a̠ t͡s ɨᵝ s a̠ ɕ i n o̞ ɡʲ i
あつた	a̠ t͡s ɨᵝ t a̠
あつた	a̠ t͡s ɨᵝ t a̠
あづちももやまじだい	a̠ z ɨᵝ t͡ɕ i m o̞ m o̞ j a̠ m a̠ ʑ i d a̠ i
あつま	a̠ t͡s ɨᵝ m a̠
あつまり	a̠ t͡s ɨᵝ m a̠ ɾʲ i
あつまる	a̠ t͡s ɨᵝ m a̠ ɾ ɯ̟ᵝ
あつみ	a̠ t͡s ɨᵝ mʲ i
あつむ	a̠ t͡s ɨᵝ m ɯ̟ᵝ
あつめる	a̠ t͡s ɨᵝ m e̞ ɾ ɯ̟ᵝ
かん	k ã̠ ɴ
ねっとう	n e̞ t̚ t o̞ː
あつらえる	a̠ t͡s ɨᵝ ɾ a̠ e̞ ɾ ɯ̟ᵝ
あつりょく	a̠ t͡s ɨᵝ ɾʲ o̞ k ɯ̟ᵝ
あつりょくけい	a̠ t͡s ɨᵝ ɾʲ o̞ k ɯ̟̊ᵝ k e̞ː
あつりょくなべ	a̠ t͡s ɨᵝ ɾʲ o̞ k ɯ̟ᵝ n a̠ b e̞
あつれき	a̠ t͡s ɨᵝ ɾ e̞ kʲ i
あて	a̠ t e̞
アディダス	a̠ dʲ i d a̠ s ɨᵝ
アテーナー	a̠ t e̞ː n a̠ː
あてがう	a̠ t e̞ ɡ a̠ ɯ̟ᵝ
あてがき	a̠ t e̞ ɡ a̠ kʲ i
あてこむ	a̠ t e̞ k o̞ m ɯ̟ᵝ
あてじ	a̠ t e̞ ʑ i
あてずっぽう	a̠ t e̞ z ɨᵝ p̚ p o̞ː
あてな	a̠ t e̞ n a̠
あてにげ	a̠ t e̞ ɲ̟ i ɡ e̞
アテネ	a̠ t e̞ n e̞
あてはまる	a̠ t e̞ h a̠ m a̠ ɾ ɯ̟ᵝ
あてはめる	a̠ t e̞ h a̠ m e̞ ɾ ɯ̟ᵝ
あでやか	a̠ d e̞ j a̠ k a̠
アデュー	a̠ dʲ ɨᵝː
あてる	a̠ t e̞ ɾ ɯ̟ᵝ
あてる	a̠ t e̞ ɾ ɯ̟ᵝ
アット	a̠ t̚ t o̞
アド	a̠ d o̞
あとおし	a̠ t o̞ o̞ ɕ i
あとあじ	a̠ t o̞ a̠ ʑ i
あといれ	a̠ t o̞ i ɾ e̞
あとがき	a̠ t o̞ ɡ a̠ kʲ i
あとかた	a̠ t o̞ k a̠ t a̠
あとかぶ	a̠ t o̞ k a̠ b ɯ̟ᵝ
あどけない	a̠ d o̞ k e̞ n a̠ i
あとさき	a̠ t o̞ s a̠ kʲ i
あとぜき	a̠ t o̞ z e̞ kʲ i
あとだし	a̠ t o̞ d a̠ ɕ i
あとつぎ	a̠ t o̞ t͡s ɨᵝ ɡʲ i
あとづけ	a̠ t o̞ z ɨᵝ k e̞
あとどり	a̠ t o̞ d o̞ ɾʲ i
アドバイザー	a̠ d o̞ b a̠ i z a̠ː
アドバイス	a̠ d o̞ b a̠ i s ɨ̥ᵝ
あとばら	a̠ t o̞ b a̠ ɾ a̠
あとばらい	a̠ t o̞ b a̠ ɾ a̠ i
アドバンテージ	a̠ d o̞ b ã̠ n t e̞ː ʑ i
アトピー	a̠ t o̞ pʲ iː
アドベ	a̠ d o̞ b e̞
アドベンチュア	a̠ d o̞ b ẽ̞ ɲ̟ t͡ɕ ɨᵝ a̠
あとまわし	a̠ t o̞ m a̠ ɰᵝ a̠ ɕ i
アトム	a̠ t o̞ m ɯ̟ᵝ
あとめ	a̠ t o̞ m e̞
アトラクション	a̠ t o̞ ɾ a̠ k ɯ̟ᵝ ɕ õ̞ ɴ
アドラブル	a̠ d o̞ ɾ a̠ b ɯ̟ᵝ ɾ ɯ̟ᵝ
アトランティス	a̠ t o̞ ɾ ã̠ n tʲ i s ɨᵝ
あとり	a̠ t o̞ ɾʲ i
アトリウム	a̠ t o̞ ɾʲ i ɯ̟ᵝ m ɯ̟ᵝ
アトリエ	a̠ t o̞ ɾʲ i e̞
アドリブ	a̠ d o̞ ɾʲ i b ɯ̟ᵝ
アドレナリン	a̠ d o̞ ɾ e̞ n a̠ ɾʲ ĩ ɴ
アナ	a̠ n a̠
あな	a̠ n a̠
アナーキスト	a̠ n a̠ː kʲ i s ɨ̥ᵝ t o̞
アナーキズム	a̠ n a̠ː kʲ i z ɨᵝ m ɯ̟ᵝ
あなうさぎ	a̠ n a̠ ɯ̟ᵝ s a̠ ɡʲ i
あなうめ	a̠ n a̠ ɯ̟ᵝ m e̞
アナウンサー	a̠ n a̠ ɯ̟̃ᵝ ɰ̃ s a̠ː
アナウンス	a̠ n a̠ ɯ̟̃ᵝ ɰ̃ s ɨᵝ
アナウンスメント	a̠ n a̠ ɯ̟̃ᵝ ɰ̃ s ɨᵝ m ẽ̞ n t o̞
アナキスト	a̠ n a̠ kʲ i s ɨ̥ᵝ t o̞
アナキズム	a̠ n a̠ kʲ i z ɨᵝ m ɯ̟ᵝ
あなぐま	a̠ n a̠ ɡ ɯ̟ᵝ m a̠
あなぐら	a̠ n a̠ ɡ ɯ̟ᵝ ɾ a̠
アナグラム	a̠ n a̠ ɡ ɯ̟ᵝ ɾ a̠ m ɯ̟ᵝ
アナグリフ	a̠ n a̠ ɡ ɯ̟ᵝ ɾʲ i ɸ ɯ̟ᵝ
あなご	a̠ n a̠ ɡ o̞
アナコンダ	a̠ n a̠ k õ̞ n d a̠
アナザー	a̠ n a̠ z a̠ː
あなた	a̠ n a̠ t a̠
あなたいろ	a̠ n a̠ t a̠ i ɾ o̞
あなたがた	a̠ n a̠ t a̠ ɡ a̠ t a̠
あなたたち	a̠ n a̠ t a̠ t a̠ t͡ɕ i
あなづり	a̠ n a̠ z ɨᵝ ɾʲ i
あなどり	a̠ n a̠ d o̞ ɾʲ i
あなどる	a̠ n a̠ d o̞ ɾ ɯ̟ᵝ
あなば	a̠ n a̠ b a̠
アナフィラキシー	a̠ n a̠ ɸʲ i ɾ a̠ kʲ i ɕ iː
あなほり	a̠ n a̠ h o̞ ɾʲ i
あなん	a̠ n ã̠ ɴ
アナログ	a̠ n a̠ ɾ o̞ ɡ ɯ̟ᵝ
あに	a̠ ɲ̟ i
あにい	a̠ ɲ̟ iː
あにうえ	a̠ ɲ̟ i ɯ̟ᵝ e̞
アニオン	a̠ ɲ̟ i õ̞ ɴ
あにき	a̠ ɲ̟ i kʲ i
アニサキス	a̠ ɲ̟ i s a̠ kʲ i s ɨᵝ
アニサキスしょう	a̠ ɲ̟ i s a̠ kʲ i s ɨᵝ ɕ o̞ː
あにでし	a̠ ɲ̟ i d e̞ ɕ i
あにぶん	a̠ ɲ̟ i b ɯ̟̃ᵝ ɴ
アニマンガ	a̠ ɲ̟ i m ã̠ ŋ ɡ a̠
アニメ	a̠ ɲ̟ i m e̞
アニメーション	a̠ ɲ̟ i m e̞ː ɕ õ̞ ɴ
アニメーションスタジオ	a̠ ɲ̟ i m e̞ː ɕ õ̞ ɰ̃ s ɨᵝ t a̠ ʑ i o̞
アニリン	a̠ ɲ̟ i ɾʲ ĩ ɴ
あね	a̠ n e̞
あねうえ	a̠ n e̞ ɯ̟ᵝ e̞
あねき	a̠ n e̞ kʲ i
アネクドート	a̠ n e̞ k ɯ̟ᵝ d o̞ː t o̞
あねご	a̠ n e̞ ɡ o̞
あねったい	a̠ n e̞ t̚ t a̠ i
あねはづる	a̠ n e̞ h a̠ z ɨᵝ ɾ ɯ̟ᵝ
あねぶん	a̠ n e̞ b ɯ̟̃ᵝ ɴ
あの	a̠ n o̞
アノア	a̠ n o̞ a̠
あのう	a̠ n o̞ː
アノード	a̠ n o̞ː d o̞
あのかた	a̠ n o̞ k a̠ t a̠
あのかたがた	a̠ n o̞ k a̠ t a̠ ɡ a̠ t a̠
あのひと	a̠ n o̞ ç i̥ t o̞
あのひとたち	a̠ n o̞ ç i̥ t o̞ t a̠ t͡ɕ i
あのよいき	a̠ n o̞ j o̞ i kʲ i
あのよゆき	a̠ n o̞ j o̞ j ɯ̟ᵝ kʲ i
アノラック	a̠ n o̞ ɾ a̠ k̚ k ɯ̟ᵝ
アパート	a̠ p a̠ː t o̞
アバカス	a̠ b a̠ k a̠ s ɨᵝ
あばく	a̠ b a̠ k ɯ̟ᵝ
アバサー	a̠ b a̠ s a̠ː
あばずれ	a̠ b a̠ z ɨᵝ ɾ e̞
アバター	a̠ b a̠ t a̠ː
アパタイト	a̠ p a̠ t a̠ i t o̞
あばよ	a̠ b a̠ j o̞
あばら	a̠ b a̠ ɾ a̠
あばらや	a̠ b a̠ ɾ a̠ j a̠
アパルトヘイト	a̠ p a̠ ɾ ɯ̟ᵝ t o̞ h e̞ː t o̞
あばれる	a̠ b a̠ ɾ e̞ ɾ ɯ̟ᵝ
あばれる	a̠ b a̠ ɾ e̞ ɾ ɯ̟ᵝ
アバン	a̠ b ã̠ ɴ
アバンギャルド	a̠ b ã̠ ŋʲ ɡʲ a̠ ɾ ɯ̟ᵝ d o̞
アバンタイトル	a̠ b ã̠ n t a̠ i t o̞ ɾ ɯ̟ᵝ
あび	a̠ bʲ i
アピ	a̠ pʲ i
アピア	a̠ pʲ i a̠
アヒージョ	a̠ ç iː ʑ o̞
アピール	a̠ pʲ iː ɾ ɯ̟ᵝ
あびこ	a̠ bʲ i k o̞
あひさん	a̠ ç i s ã̠ ɴ
アビシニアン	a̠ bʲ i ɕ i ɲ̟ i ã̠ ɴ
あびせる	a̠ bʲ i s e̞ ɾ ɯ̟ᵝ
かも	k a̠ m o̞
あひる	a̠ ç i ɾ ɯ̟ᵝ
あびる	a̠ bʲ i ɾ ɯ̟ᵝ
アピる	a̠ pʲ i ɾ ɯ̟ᵝ
あひるすわり	a̠ ç i ɾ ɯ̟ᵝ s ɨᵝ ɰᵝ a̠ ɾʲ i
あふ	a̠ ɸ ɯ̟ᵝ
あぶ	a̠ b ɯ̟ᵝ
アフィ	a̠ ɸʲ i
アフィリエイト	a̠ ɸʲ i ɾʲ i e̞ː t o̞
アフォ	a̠ ɸ o̞
アフガニスタン	a̠ ɸ ɯ̟ᵝ ɡ a̠ ɲ̟ i s ɨᵝ t ã̠ ɴ
アフガニスタンじん	a̠ ɸ ɯ̟ᵝ ɡ a̠ ɲ̟ i s ɨᵝ t ã̠ ɲ̟ d͡ʑ ĩ ɴ
アフガン	a̠ ɸ ɯ̟ᵝ ɡ ã̠ ɴ
