ya	ja
wanamgambo	wanamɠambo
wapya	wapja
nato	nato
endapo	endapo
mshitakiwa	mʃitakiwa
mwalimu	mwalimu
zawadi	zawaɗi
faso	faso
mkapa	mkapa
wanawake	wanawake
hadharani	haðaɾani
ilivyokuwa	ilivjokuwa
kongamano	konɡamano
kushika	kuʃika
mashahidi	maʃahiɗi
mashitaka	maʃitaka
meli	meli
mimba	mimba
utalii	utalii
wizi	wizi
aliyekuwa	alijekuwa
burkina	ɓuɾkina
kkkt	kkkt
nec	nec
york	joɾk
alikamatwa	alikamatwa
bodi	ɓoɗi
mkakati	mkakati
peke	peke
wamefariki	wamefaɾiki
abdallah	aɓɗallah
bashiru	ɓaʃiɾu
pakistan	pakistan
haikuwa	haikuwa
halisi	halisi
kufanyiwa	kufaɲiwa
kule	kule
kupita	kupita
mikataba	mikataɓa
orodha	oɾoða
unaendelea	unaendelea
uzinduzi	uzinduzi
hai	hai
bajeti	ɓaʄeti
dada	ɗaɗa
hakimu	hakimu
idara	iɗaɾa
kubaini	kuɓaini
kumuua	kumuua
kupatikana	kupatikana
mlipuko	mlipuko
uhaba	uhaɓa
umbali	umbali
utendaji	utendaʄi
viwango	viwanɡo
india	india
ndani	ndani
kuandaa	kuandaa
kurejesha	kuɾeʄeʃa
kuwasaidia	kuwasaiɗia
letu	letu
maadili	maaɗili
hili	hili
mussa	mussa
ahadi	ahaɗi
boti	ɓoti
maelekezo	maelekezo
mwingi	mwinɡi
tamasha	tamaʃa
televisheni	televiʃeni
ukubwa	ukuɓwa
vyuo	vjuo
wanataka	wanataka
wapiganaji	wapiɠanaʄi
watumishi	watumiʃi
baadaye	ɓaaɗaje
ghana	ɣana
hiyo	hijo
japan	ʄapan
kulingana	kulinɡana
who	who
alikiri	alikiɾi
kanda	kanda
kuondolewa	kuondolewa
limesema	limesema
magumu	maɠumu
mitihani	mitihani
shahada	ʃahaɗa
ulimwengu	ulimwenɡu
akiwa	akiwa
iran	iɾan
mkoani	mkoani
wcb	wcɓ
alama	alama
halali	halali
hatimaye	hatimaje
kujeruhiwa	kuʄeɾuhiwa
kusikilizwa	kusikilizwa
marafiki	maɾafiki
mipaka	mipaka
ujumla	uʄumla
wanafanya	wanafaɲa
wastani	wastani
waumini	waumini
julius	ʄulius
qatar	qataɾ
hospitalini	hospitalini
kuamua	kuamua
kufanikisha	kufanikiʃa
mazao	mazao
mjumbe	mʄumbe
pombe	pombe
vikundi	vikundi
wajibu	waʄiɓu
watakuwa	watakuwa
brazil	ɓɾazil
akitoa	akitoa
hatiani	hatiani
kuachana	kuat͡ʃana
kudumu	kuɗumu
kutua	kutua
madaktari	maɗaktaɾi
maumivu	maumivu
mwanachama	mwanat͡ʃama
tahadhari	tahaðaɾi
hatua	hatua
ili	ili
libya	liɓja
mama	mama
daktari	ɗaktaɾi
kaka	kaka
kubeba	kuɓeɓa
kuendeleza	kuendeleza
kufuatilia	kufuatilia
kukamilika	kukamilika
kuonekana	kuonekana
kutenda	kutenda
lililokuwa	lililokuwa
mabaya	maɓaja
mafuriko	mafuɾiko
mapambano	mapambano
mizigo	miziɠo
wawe	wawe
waweze	waweze
kiswahili	kiswahili
temeke	temeke
ghafla	ɣafla
kelele	kelele
kitabu	kitaɓu
kumalizika	kumalizika
kuwasilisha	kuwasiliʃa
kuzungumzia	kuzunɡumzia
kwetu	kwetu
maadhimisho	maaðimiʃo
miguu	miɠuu
ukurasa	ukuɾasa
upatikanaji	upatikanaʄi
utakuwa	utakuwa
viwanda	viwanda
australia	austɾalia
dola	ɗola
idadi	iɗaɗi
mtoto	mtoto
tukio	tukio
aliongeza	alionɡeza
hifadhi	hifaði
inaendelea	inaendelea
kifungu	kifunɡu
kutajwa	kutaʄwa
kuzalisha	kuzaliʃa
mzee	mzee
takribani	takɾiɓani
uhai	uhai
wakubwa	wakuɓwa
boris	ɓoɾis
ripoti	ɾipoti
united	uniteɗ
ameeleza	ameeleza
amethibitisha	ameθiɓitiʃa
anafanya	anafaɲa
kuunda	kuunda
mgumu	mɠumu
misingi	misinɡi
mwanasiasa	mwanasiasa
pengine	penɡine
saratani	saɾatani
utoaji	utoaʄi
vyake	vjake
walianza	walianza
waliuawa	waliuawa
zoezi	zoezi
bongo	ɓonɡo
ingawa	inɡawa
mheshimiwa	mheʃimiwa
mosi	mosi
ulinzi	ulinzi
imara	imaɾa
mingine	minɡine
pikipiki	pikipiki
ratiba	ɾatiɓa
tamaa	tamaa
usafirishaji	usafiɾiʃaʄi
kwenye	kweɲe
museveni	museveni
reuters	ɾeuteɾs
rufaa	ɾufaa
watoto	watoto
kukata	kukata
mapya	mapja
ushawishi	uʃawiʃi
wafugaji	wafuɠaʄi
wanahabari	wanahaɓaɾi
zilizopo	zilizopo
bongofleva	ɓonɡofleva
hawa	hawa
kigoma	kiɠoma
macron	macɾon
sh	ʃ
kikundi	kikundi
kiume	kiume
kuendesha	kuendeʃa
kutambua	kutambua
kutumika	kutumika
madereva	maɗeɾeva
miti	miti
msiba	msiɓa
treni	tɾeni
tuna	tuna
ushauri	uʃauɾi
wanyama	waɲama
bodi	ɓoɗi
gaddafi	ɠaɗɗafi
mallya	mallja
anadaiwa	anaɗaiwa
kuamkia	kuamkia
mikakati	mikakati
mumewe	mumewe
sumu	sumu
tiketi	tiketi
upungufu	upunɡufu
wapiga	wapiɠa
ilikuwa	ilikuwa
kisutu	kisutu
shaka	ʃaka
urio	uɾio
bahari	ɓahaɾi
kujitokeza	kuʄitokeza
mabomu	maɓomu
masoko	masoko
mjadala	mʄaɗala
umaarufu	umaaɾufu
abramovich	aɓɾamovit͡ʃ
arabia	aɾaɓia
burundi	ɓuɾundi
demokrasia	ɗemokɾasia
ibrahim	iɓɾahim
jana	ʄana
mwandishi	mwandiʃi
raila	ɾaila
tigray	tiɠɾaj
truss	tɾuss
tulia	tulia
kibiashara	kiɓiaʃaɾa
kidemokrasia	kiɗemokɾasia
kukuza	kukuza
kwangu	kwanɡu
majaji	maʄaʄi
makamu	makamu
naibu	naiɓu
niaba	niaɓa
viungo	viunɡo
wanapaswa	wanapaswa
zikiwa	zikiwa
msumbiji	msumbiʄi
poland	poland
alikwenda	alikwenda
ama	ama
joto	ʄoto
kuuawa	kuuawa
msaidizi	msaiɗizi
ugenini	uɠenini
umekuwa	umekuwa
upo	upo
kocha	kot͡ʃa
shirikisho	ʃiɾikiʃo
tra	tɾa
benchi	ɓent͡ʃi
dogo	ɗoɠo
inayomkabili	inajomkaɓili
jingine	ʄinɡine
kuhudhuria	kuhuðuɾia
kutimiza	kutimiza
kutuma	kutuma
uzoefu	uzoefu
zilizopita	zilizopita
hadi	haɗi
mtaa	mtaa
mwanaspoti	mwanaspoti
stinney	stinnej
kombe	kombe
kuwataka	kuwataka
limekuwa	limekuwa
mkononi	mkononi
utulivu	utulivu
watendaji	watendaʄi
makazi	makazi
ole	ole
ramadhani	ɾamaðani
afisa	afisa
kipato	kipato
limetokea	limetokea
lipo	lipo
vigumu	viɠumu
mdee	mɗee
ramaphosa	ɾamaphosa
ishara	iʃaɾa
kutembelea	kutembelea
miongo	mionɡo
nina	nina
teknolojia	teknoloʄia
uzito	uzito
baba	ɓaɓa
biashara	ɓiaʃaɾa
dpp	ɗpp
kauli	kauli
mohammed	mohammeɗ
mwandamizi	mwandamizi
tabora	taɓoɾa
vladimir	vlaɗimiɾ
chombo	t͡ʃombo
kilikuwa	kilikuwa
kivita	kivita
kufariki	kufaɾiki
kukiwa	kukiwa
kupanga	kupanɡa
majadiliano	maʄaɗiliano
makini	makini
mawazo	mawazo
njaa	nɟaa
shoo	ʃoo
ubingwa	uɓinɡwa
idara	iɗaɾa
michael	mit͡ʃael
hoteli	hoteli
japo	ʄapo
kuhamasisha	kuhamasiʃa
kuhusika	kuhusika
kupatiwa	kupatiwa
kuteuliwa	kuteuliwa
malkia	malkia
mgodi	mɠoɗi
muhula	muhula
nyuklia	ɲuklia
wanatakiwa	wanatakiwa
handeni	handeni
zelenskyy	zelenskjj
bima	ɓima
chao	t͡ʃao
kubaki	kuɓaki
kuweza	kuweza
kuzaliwa	kuzaliwa
lina	lina
madiwani	maɗiwani
mbio	mbio
mita	mita
njama	nɟama
safi	safi
ufisadi	ufisaɗi
ulemavu	ulemavu
ulianza	ulianza
uzazi	uzazi
edward	eɗwaɾɗ
juu	ʄuu
kazi	kazi
salum	salum
sekondari	sekondaɾi
tlp	tlp
baadae	ɓaaɗae
jinai	ʄinai
kadi	kaɗi
kichwani	kit͡ʃwani
kidiplomasia	kiɗiplomasia
kingine	kinɡine
kiraia	kiɾaia
kitongoji	kitonɡoʄi
kukimbia	kukimbia
kuokoa	kuokoa
kusikia	kusikia
majira	maʄiɾa
toka	toka
ukaguzi	ukaɠuzi
ikiwa	ikiwa
miss	miss
kipengele	kipenɡele
kulevya	kulevja
kusafirisha	kusafiɾiʃa
lile	lile
mahusiano	mahusiano
nazo	nazo
nidhamu	niðamu
pembeni	pembeni
saini	saini
utajiri	utaʄiɾi
vikali	vikali
walipata	walipata
wenyeji	weɲeʄi
chunya	t͡ʃuɲa
dc	ɗc
rukwa	ɾukwa
sisi	sisi
bibi	ɓiɓi
chenye	t͡ʃeɲe
gereza	ɠeɾeza
kazini	kazini
kigaidi	kiɠaiɗi
kubadili	kuɓaɗili
mwanzoni	mwanzoni
pole	pole
udhibiti	uðiɓiti
yamekuwa	jamekuwa
ziada	ziaɗa
ajali	aʄali
babu	ɓaɓu
goma	ɠoma
mbatia	mbatia
muhimbili	muhimbili
tunisia	tunisia
zitto	zitto
haramu	haɾamu
hasira	hasiɾa
hawawezi	hawawezi
hisia	hisia
inaonyesha	inaoɲeʃa
kukusanya	kukusaɲa
kupelekwa	kupelekwa
kuunga	kuunɡa
machozi	mat͡ʃozi
mahabusu	mahaɓusu
mifumo	mifumo
mstari	mstaɾi
nyota	ɲota
rasilimali	ɾasilimali
sikukuu	sikukuu
wadhifa	waðifa
argentina	aɾɠentina
hapa	hapa
liverpool	liveɾpool
ndio	ndio
picha	pit͡ʃa
usalama	usalama
aliomba	aliomba
ikilinganishwa	ikilinɡaniʃwa
kilichopo	kilit͡ʃopo
kuchunguza	kut͡ʃunɡuza
kujaribu	kuʄaɾiɓu
kusitisha	kusitiʃa
likiwa	likiwa
mgonjwa	mɠonɟwa
mwanaume	mwanaume
ndivyo	ndivjo
tulikuwa	tulikuwa
ufundi	ufundi
ulimwenguni	ulimwenɡuni
usawa	usawa
vigezo	viɠezo
wakisema	wakisema
wakiwamo	wakiwamo
benjamin	ɓenɟamin
duniani	ɗuniani
elimu	elimu
jamii	ʄamii
kivu	kivu
morrison	moɾɾison
mpaka	mpaka
msajili	msaʄili
saudi	sauɗi
zimbabwe	zimbaɓwe
akidai	akiɗai
akieleza	akieleza
and	and
faini	faini
kuanguka	kuanɡuka
kutatua	kutatua
lingine	linɡine
mwenendo	mwenendo
nafuu	nafuu
neno	neno
ufanisi	ufanisi
vipimo	vipimo
wahusika	wahusika
wameanza	wameanza
canada	canaɗa
guinea	ɠuinea
kinana	kinana
mabingwa	maɓinɡwa
mji	mʄi
philip	philip
wabunge	waɓunɡe
wema	wema
akifanya	akifaɲa
aliandika	aliandika
bure	ɓuɾe
kero	keɾo
kuchaguliwa	kut͡ʃaɠuliwa
kuepuka	kuepuka
mnada	mnaɗa
mnamo	mnamo
ofisa	ofisa
pambano	pambano
diwani	ɗiwani
shoo	ʃoo
simiyu	simiju
st	st
wengi	wenɡi
ajabu	aʄaɓu
akawa	akawa
enzi	enzi
fidia	fiɗia
hawakuwa	hawakuwa
jamaa	ʄamaa
jopo	ʄopo
kibali	kiɓali
kisiwa	kisiwa
kukubali	kukuɓali
kuthibitisha	kuθiɓitiʃa
kuwapo	kuwapo
matangazo	matanɡazo
mojawapo	moʄawapo
mrengo	mɾenɡo
nauli	nauli
salamu	salamu
usimamizi	usimamizi
zipo	zipo
group	ɠɾoup
hamad	hamaɗ
kassim	kassim
meya	meja
agizo	aɠizo
akiwamo	akiwamo
ilianza	ilianza
kamanda	kamanda
kiungo	kiunɡo
majirani	maʄiɾani
mshambuliaji	mʃambuliaʄi
mtendaji	mtendaʄi
nyama	ɲama
sambamba	sambamba
wanane	wanane
amerika	ameɾika
haji	haʄi
jackson	ʄackson
maalumu	maalumu
mganga	mɠanɡa
songwe	sonɡwe
wanajeshi	wanaʄeʃi
ada	aɗa
amefanya	amefaɲa
kifalme	kifalme
kushuka	kuʃuka
mastaa	mastaa
miamala	miamala
the	θe
vijijini	viʄiʄini
vipaji	vipaʄi
vipi	vipi
zijazo	ziʄazo
harry	haɾɾj
katoliki	katoliki
malawi	malawi
mtu	mtu
uamuzi	uamuzi
vyama	vjama
akasema	akasema
alishindwa	aliʃindwa
anaeleza	anaeleza
anatarajiwa	anataɾaʄiwa
bendera	ɓendeɾa
ifikapo	ifikapo
inakuwa	inakuwa
kifedha	kifeða
kuhojiwa	kuhoʄiwa
majaribio	maʄaɾiɓio
panga	panɡa
upendo	upendo
vitabu	vitaɓu
vyakula	vjakula
africa	afɾica
mawasiliano	mawasiliano
novemba	novemba
prince	pɾince
rayvanny	ɾajvanɲ
alishinda	aliʃinda
aliyewahi	alijewahi
deni	ɗeni
iliyotokea	ilijotokea
imeanza	imeanza
kilo	kilo
kufanikiwa	kufanikiwa
kuingilia	kuinɡilia
leseni	leseni
makocha	makot͡ʃa
sijui	siʄui
sura	suɾa
tamko	tamko
ujauzito	uʄauzito
waandamanaji	waandamanaʄi
walipokuwa	walipokuwa
donald	ɗonalɗ
halima	halima
house	house
mgombea	mɠombea
msingi	msinɡi
sheikh	ʃeix
sunak	sunak
swali	swali
aliingia	aliinɡia
anaendelea	anaendelea
hai	hai
isipokuwa	isipokuwa
jaribio	ʄaɾiɓio
kidini	kiɗini
kujifunza	kuʄifunza
kusafiri	kusafiɾi
kusubiri	kusuɓiɾi
kuwezesha	kuwezeʃa
mabasi	maɓasi
mashamba	maʃamba
naomba	naomba
wenzao	wenzao
amani	amani
blinken	ɓlinken
kilimo	kilimo
lindi	lindi
mondi	mondi
serengeti	seɾenɡeti
tutu	tutu
ubungo	uɓunɡo
uholanzi	uholanzi
washtakiwa	waʃtakiwa
alipewa	alipewa
aliyefariki	alijefaɾiki
balozi	ɓalozi
duka	ɗuka
kipaumbele	kipaumbele
kujali	kuʄali
kwasababu	kwasaɓaɓu
mwelekeo	mwelekeo
tembo	tembo
tiba	tiɓa
tozo	tozo
trilioni	tɾilioni
wasio	wasio
ebola	eɓola
frank	fɾank
haya	haja
maji	maʄi
singida	sinɡiɗa
aliwaambia	aliwaambia
hela	hela
kuachia	kuat͡ʃia
kushughulikia	kuʃuɣulikia
kuwahi	kuwahi
mashine	maʃine
mauzo	mauzo
mfalme	mfalme
nikiwa	nikiwa
uendeshaji	uendeʃaʄi
wafungwa	wafunɡwa
zahanati	zahanati
ahmed	ahmeɗ
hamisa	hamisa
huku	huku
kiingereza	kiinɡeɾeza
kikosi	kikosi
mchungaji	mt͡ʃunɡaʄi
upande	upande
zoran	zoɾan
aliamua	aliamua
aliiambia	aliiambia
alizaliwa	alizaliwa
jipya	ʄipja
kabila	kaɓila
kizazi	kizazi
kuapishwa	kuapiʃwa
kufikishwa	kufikiʃwa
kuhesabiwa	kuhesaɓiwa
lori	loɾi
maridhiano	maɾiðiano
mmiliki	mmiliki
mzigo	mziɠo
njiani	nɟiani
programu	pɾoɠɾamu
waliopo	waliopo
wanaamini	wanaamini
wanadaiwa	wanaɗaiwa
zinaonyesha	zinaoɲeʃa
agosti	aɠosti
alikiba	alikiɓa
bw	ɓw
kigamboni	kiɠamboni
limited	limiteɗ
mexico	mexico
mollel	mollel
muhoozi	muhoozi
nabi	naɓi
syria	sjɾia
voa	voa
vita	vita
white	white
anaamini	anaamini
angalau	anɡalau
chaguzi	t͡ʃaɠuzi
hususan	hususan
inaonekana	inaonekana
inawezekana	inawezekana
kaburi	kaɓuɾi
kihistoria	kihistoɾia
kusomewa	kusomewa
labda	laɓɗa
lita	lita
mlima	mlima
msamaha	msamaha
ulifanyika	ulifaɲika
uongo	uonɡo
utata	utata
wachambuzi	wat͡ʃambuzi
waliouawa	waliouawa
wamiliki	wamiliki
hilo	hilo
lowassa	lowassa
polepole	polepole
siha	siha
sio	sio
vijijini	viʄiʄini
alitumia	alitumia
aweze	aweze
busara	ɓusaɾa
lini	lini
pasi	pasi
shinikizo	ʃinikizo
udanganyifu	uɗanɡaɲifu
ugumu	uɠumu
vielelezo	vielelezo
viwili	viwili
walifariki	walifaɾiki
watalii	watalii
wawakilishi	wawakiliʃi
covid	coviɗ
mwili	mwili
palestina	palestina
patrick	patɾick
richard	ɾit͡ʃaɾɗ
simanjiro	simanɟiɾo
ubelgiji	uɓelɠiʄi
wasafi	wasafi
aliuawa	aliuawa
hadhara	haðaɾa
hakukuwa	hakukuwa
hayati	hajati
iliyofanyika	ilijofaɲika
kando	kando
kijijini	kiʄiʄini
kuimba	kuimba
kulala	kulala
kurudisha	kuɾuɗiʃa
madogo	maɗoɠo
manne	manne
mashuhuri	maʃuhuɾi
mkongwe	mkonɡwe
njema	nɟema
pingamizi	pinɡamizi
sina	sina
sokoni	sokoni
tathmini	taθmini
yenyewe	jeɲewe
act	act
abdul	aɓɗul
cag	caɠ
jakaya	ʄakaja
kamishna	kamiʃna
mcl	mcl
mwaikali	mwaikali
platnumz	platnumz
thomas	θomas
volodymyr	voloɗjmjɾ
wazalendo	wazalendo
kielelezo	kielelezo
kilichotokea	kilit͡ʃotokea
kimya	kimja
kuachiwa	kuat͡ʃiwa
kumkamata	kumkamata
kuwakamata	kuwakamata
maiti	maiti
makada	makaɗa
mikononi	mikononi
vema	vema
wakifanya	wakifaɲa
walifanya	walifaɲa
wanaoishi	wanaoiʃi
wimbi	wimbi
african	afɾican
hayati	hajati
huu	huu
makosa	makosa
msanii	msanii
niger	niɠeɾ
takriban	takɾiɓan
wakala	wakala
anakabiliwa	anakaɓiliwa
hazina	hazina
itaendelea	itaendelea
kuchukuliwa	kut͡ʃukuliwa
kujitoa	kuʄitoa
kukutwa	kukutwa
kumpiga	kumpiɠa
kutakuwa	kutakuwa
kutangazwa	kutanɡazwa
kutembea	kutembea
lilitokea	lilitokea
matunda	matunda
mawe	mawe
msimamizi	msimamizi
mtaani	mtaani
mwanaye	mwanaje
mwao	mwao
mwendo	mwendo
nadhani	naðani
ndo	ndo
ngapi	nɡapi
pwani	pwani
shamba	ʃamba
taji	taʄi
walikamatwa	walikamatwa
zilizokuwa	zilizokuwa
zinaendelea	zinaendelea
adam	aɗam
anthony	anθoɲ
huyu	huju
jambo	ʄambo
lengai	lenɡai
madini	maɗini
matokeo	matokeo
nandy	nandj
ngorongoro	nɡoɾonɡoɾo
tinubu	tinuɓu
akiba	akiɓa
alichukua	alit͡ʃukua
ametangaza	ametanɡaza
burudani	ɓuɾuɗani
huwezi	huwezi
kipaji	kipaʄi
kitengo	kitenɡo
kuchangia	kut͡ʃanɡia
kuhamia	kuhamia
maagizo	maaɠizo
majanga	maʄanɡa
mamia	mamia
mamilioni	mamilioni
manufaa	manufaa
mawakala	mawakala
mguu	mɠuu
tajiri	taʄiɾi
upepo	upepo
yaliyokuwa	jalijokuwa
zina	zina
a	a
arsenal	aɾsenal
igp	iɠp
kibaki	kiɓaki
phiri	phiɾi
wiki	wiki
aliyepata	alijepata
daladala	ɗalaɗala
ikawa	ikawa
kaya	kaja
kuruhusu	kuɾuhusu
kutunza	kutunza
lililopo	lililopo
mapendekezo	mapendekezo
mto	mto
nafaka	nafaka
rubani	ɾuɓani
tishio	tiʃio
ubaguzi	uɓaɠuzi
ukuaji	ukuaʄi
wanakuwa	wanakuwa
wanapata	wanapata
zimekuwa	zimekuwa
zingine	zinɡine
april	apɾil
asia	asia
makalla	makalla
sauti	sauti
siasa	siasa
anatakiwa	anatakiwa
dhati	ðati
hatuna	hatuna
jukwaa	ʄukwaa
jukwaani	ʄukwaani
kuamini	kuamini
kubadilisha	kuɓaɗiliʃa
kuharibu	kuhaɾiɓu
kunywa	kuɲwa
kuongea	kuonɡea
kuvuka	kuvuka
mlinzi	mlinzi
washambuliaji	waʃambuliaʄi
afisa	afisa
ep	ep
hapo	hapo
huko	huko
kiba	kiɓa
lipumba	lipumba
mariam	maɾiam
mazingira	mazinɡiɾa
nato	nato
wakizungumza	wakizunɡumza
wilayani	wilajani
alisisitiza	alisisitiza
haiwezi	haiwezi
kikatiba	kikatiɓa
kumbaka	kumbaka
kumekuwa	kumekuwa
maduka	maɗuka
marekebisho	maɾekeɓiʃo
mikubwa	mikuɓwa
mitaani	mitaani
mno	mno
uangalizi	uanɡalizi
uchimbaji	ut͡ʃimbaʄi
uwe	uwe
wanahitaji	wanahitaʄi
conservative	conseɾvative
haki	haki
mayele	majele
mfawidhi	mfawiði
muliro	muliɾo
mwanasheria	mwanaʃeɾia
mwezi	mwezi
ronaldo	ɾonalɗo
sumbawanga	sumbawanɡa
tuzo	tuzo
alionekana	alionekana
alitaka	alitaka
cheo	t͡ʃeo
hadhi	haði
imetolewa	imetolewa
inapaswa	inapaswa
itikadi	itikaɗi
kilio	kilio
kufahamu	kufahamu
kufunguliwa	kufunɡuliwa
kuungana	kuunɡana
mpinzani	mpinzani
mwenza	mwenza
popote	popote
sanaa	sanaa
serikalini	seɾikalini
vikuu	vikuu
wakidai	wakiɗai
walinzi	walinzi
bocco	ɓocco
crdb	cɾɗɓ
disemba	ɗisemba
familia	familia
international	inteɾnational
jacob	ʄacoɓ
jijini	ʄiʄini
mary	maɾj
mgunda	mɠunda
miaka	miaka
pili	pili
tanganyika	tanɡaɲika
wamarekani	wamaɾekani
wateja	wateʄa
alikutana	alikutana
aliwataka	aliwataka
kilele	kilele
kituoni	kituoni
kuchagua	kut͡ʃaɠua
kuelezea	kuelezea
kukiri	kukiɾi
kukosekana	kukosekana
kusonga	kusonɡa
kuwasiliana	kuwasiliana
lilisema	lilisema
makaburi	makaɓuɾi
mtindo	mtindo
on	on
uliokuwa	uliokuwa
watazamaji	watazamaʄi
wawekezaji	wawekezaʄi
zozote	zozote
alex	alex
chad	t͡ʃaɗ
gavana	ɠavana
kinshasa	kinʃasa
makamba	makamba
robert	ɾoɓeɾt
sharif	ʃaɾif
union	union
zuchu	zut͡ʃu
akitokea	akitokea
amepata	amepata
bangi	ɓanɡi
chetu	t͡ʃetu
duru	ɗuɾu
for	foɾ
kikamilifu	kikamilifu
kipya	kipja
kusambaa	kusambaa
kuwekeza	kuwekeza
mbadala	mbaɗala
mitandaoni	mitandaoni
mtazamo	mtazamo
mvutano	mvutano
ugomvi	uɠomvi
ukanda	ukanda
uko	uko
vipindi	vipindi
washitakiwa	waʃitakiwa
yanaweza	janaweza
bariadi	ɓaɾiaɗi
henry	henɾj
islamic	islamic
issa	issa
juzi	ʄuzi
king	kinɡ
kupitia	kupitia
martin	maɾtin
mitaa	mitaa
msuya	msuja
myanmar	mjanmaɾ
raia	ɾaia
rushwa	ɾuʃwa
ruvu	ɾuvu
takwimu	takwimu
tatizo	tatizo
aibu	aiɓu
aliyokuwa	alijokuwa
baa	ɓaa
baridi	ɓaɾiɗi
de	ɗe
hakika	hakika
hamu	hamu
hesabu	hesaɓu
imetoa	imetoa
inafanya	inafaɲa
kipekee	kipekee
kisu	kisu
kuchelewa	kut͡ʃelewa
kujiondoa	kuʄiondoa
kusimama	kusimama
maradhi	maɾaði
mfuko	mfuko
onyo	oɲo
uenyekiti	ueɲekiti
walipo	walipo
wanaotaka	wanaotaka
alipoulizwa	alipoulizwa
anna	anna
bandari	ɓandaɾi
bi	ɓi
chalamila	t͡ʃalamila
imeandikwa	imeandikwa
jesca	ʄesca
kiarabu	kiaɾaɓu
kitaifa	kitaifa
kufuatia	kufuatia
maisha	maiʃa
maria	maɾia
mnyika	mɲika
mshtakiwa	mʃtakiwa
mwanga	mwanɡa
uchumi	ut͡ʃumi
uenezi	uenezi
ujenzi	uʄenzi
youtube	joutuɓe
akitaka	akitaka
ameandika	ameandika
ataendelea	ataendelea
dayosisi	ɗajosisi
hakutaka	hakutaka
kilometa	kilometa
kuhifadhi	kuhifaði
kujaza	kuʄaza
kumchagua	kumt͡ʃaɠua
kupungua	kupunɡua
maafa	maafa
madeni	maɗeni
mapanga	mapanɡa
mapumziko	mapumziko
matarajio	mataɾaʄio
mchanga	mt͡ʃanɡa
medali	meɗali
mti	mti
naamini	naamini
pindi	pindi
ufadhili	ufaðili
ufafanuzi	ufafanuzi
usafi	usafi
vifurushi	vifuɾuʃi
waathirika	waaθiɾika
waliohusika	waliohusika
yakiwa	jakiwa
ameongeza	ameonɡeza
diana	ɗiana
kiislamu	kiislamu
liz	liz
mapema	mapema
mapigano	mapiɠano
mawaziri	mawaziɾi
may	maj
mfano	mfano
mtakatifu	mtakatifu
nina	nina
paris	paɾis
ameyasema	amejasema
anakuwa	anakuwa
baiskeli	ɓaiskeli
bingwa	ɓinɡwa
bomu	ɓomu
ilitoa	ilitoa
karne	kaɾne
kifurushi	kifuɾuʃi
kujihusisha	kuʄihusiʃa
kutwaa	kutwaa
kwanini	kwanini
madarasa	maɗaɾasa
magazeti	maɠazeti
mbwa	mbwa
ndefu	ndefu
raundi	ɾaundi
suluhisho	suluhiʃo
uelewa	uelewa
wazuri	wazuɾi
wenyeviti	weɲeviti
yanaendelea	janaendelea
kabul	kaɓul
kanali	kanali
karume	kaɾume
lema	lema
messi	messi
rombo	ɾombo
santos	santos
uvccm	uvccm
unaweza	unaweza
xi	xi
zimamoto	zimamoto
aliliambia	aliliambia
huzuni	huzuni
je	ʄe
kashfa	kaʃfa
kuahirisha	kuahiɾiʃa
kuanzishwa	kuanziʃwa
kuisaidia	kuisaiɗia
kumsaidia	kumsaiɗia
kushuhudia	kuʃuhuɗia
meneja	meneʄa
uasi	uasi
ubalozi	uɓalozi
ufaulu	ufaulu
uzembe	uzembe
abbas	aɓɓas
antony	antoɲ
bado	ɓaɗo
chelsea	t͡ʃelsea
florida	floɾiɗa
instagram	instaɠɾam
mugalu	muɠalu
mushi	muʃi
sms	sms
si	si
waandishi	waandiʃi
alifika	alifika
alipoulizwa	alipoulizwa
aliteuliwa	aliteuliwa
baharini	ɓahaɾini
dhamira	ðamiɾa
doria	ɗoɾia
iliyosababisha	ilijosaɓaɓiʃa
kuheshimu	kuheʃimu
kujipatia	kuʄipatia
mbegu	mbeɠu
milango	milanɡo
redio	ɾeɗio
spika	spika
vifaru	vifaɾu
visiwa	visiwa
wachimbaji	wat͡ʃimbaʄi
wahalifu	wahalifu
wakiongozwa	wakionɡozwa
wazima	wazima
zilizotolewa	zilizotolewa
zinaweza	zinaweza
akitoa	akitoa
amos	amos
digital	ɗiɠital
hamis	hamis
ilala	ilala
kitu	kitu
lushoto	luʃoto
maelfu	maelfu
maigwa	maiɠwa
mipango	mipanɡo
msimbazi	msimbazi
pima	pima
soko	soko
wawakilishi	wawakiliʃi
wote	wote
anaishi	anaiʃi
huohuo	huohuo
inahitaji	inahitaʄi
kombora	komboɾa
kufikisha	kufikiʃa
kukataa	kukataa
kupima	kupima
kushambulia	kuʃambulia
kuwekwa	kuwekwa
mabaki	maɓaki
mageuzi	maɠeuzi
mahindi	mahindi
makusudi	makusuɗi
maskini	maskini
mpakani	mpakani
msitu	msitu
nyanya	ɲaɲa
nyara	ɲaɾa
somo	somo
ujuzi	uʄuzi
umakini	umakini
updated	upɗateɗ
uso	uso
wakala	wakala
wakiendelea	wakiendelea
waliojitokeza	walioʄitokeza
wapate	wapate
yaliyofanyika	jalijofaɲika
antonio	antonio
bwire	ɓwiɾe
corona	coɾona
ester	esteɾ
godfrey	ɠoɗfɾej
job	ʄoɓ
luteni	luteni
mke	mke
muda	muɗa
pablo	paɓlo
pareso	paɾeso
